2theta,Intensity,Model,Residual,Background,extrapeak,bcc FeNi
23.00152163,191.7032928,191.79395243799803,-0.0906596379980158,191.30185345046175,0.3960666708860704,0.09603231665022152
23.00880821,191.6125793,191.807871530742,-0.1952922307420124,191.30236482221125,0.40864639522913987,0.09686031330160862
23.01609479,191.68562319999998,191.82245293405063,-0.13682973405065013,191.30296393340285,0.4217899446432821,0.09769905600450858
23.02338138,191.6152344,191.83772420714885,-0.22248980714886102,191.30365078503945,0.43552468956956736,0.09854873253982721
23.03066796,191.5294342,191.8537141627058,-0.32427996270581616,191.30442537523572,0.44987925622241554,0.09940953124766862
23.03795454,191.5694733,191.87045307220188,-0.30097977220188454,191.30528770487427,0.4648837191975528,0.10028164813006434
23.04524112,191.8604431,191.8879726713811,-0.027529571381109008,191.30623777395505,0.4805696151142184,0.10116528231184595
23.05252771,191.9759979,191.90630630452173,0.0696915954782753,191.30727558396256,0.4969700820097999,0.10206063854938449
23.05981429,191.9927368,191.92548893178747,0.06724786821251882,191.308401132048,0.5141198773232131,0.10296792241626339
23.06710087,191.7671967,191.9455574016997,-0.1783607016996882,191.30961441957567,0.532055634328111,0.10388734779592115
23.07438746,191.8749542,191.96655051677925,-0.09159631677925972,191.31091544839126,0.550815934993478,0.10481913339452036
23.08167404,191.9712372,191.9885090931403,-0.017271893140303973,191.3123042149237,0.5704413792588329,0.10576349895775308
23.08896062,191.971283,192.01147630259504,-0.040193302595042724,191.31378072089848,0.5909749086214289,0.10672067307512566
23.0962472,191.74473569999998,192.03549774809136,-0.2907620480913806,191.3153449663152,0.6124618935576448,0.10769088821852066
23.10353379,191.8058472,192.06062173895438,-0.2547745389543934,191.3169969535016,0.6349504019407429,0.10867438351205229
23.11082037,191.78543090000002,192.08689938845748,-0.3014684884574592,191.3187366779232,0.6584913110741664,0.10967139946012419
23.11810695,191.7318726,192.11438508576998,-0.3825124857699791,191.32056414178697,0.6831387577878514,0.11068218619514683
23.12539354,191.65235900000002,192.14313669667555,-0.4907776966755364,191.3224793477815,0.7089503492260161,0.11170699966803978
23.13268012,191.84243769999998,192.17321576963357,-0.33077806963359535,191.32448229065017,0.73598738147987,0.11274609750352772
23.1399667,191.96109009999998,192.20468814360095,-0.2435980436009686,191.32657297296083,0.7643154230370356,0.11379974760308749
23.14725328,192.0714874,192.2376242070501,-0.16613680705009415,191.32875139471372,0.7940045896272716,0.11486822270910774
23.15453987,191.9445801,192.27209944877507,-0.32751934877506983,191.33101755907916,0.8251300862208365,0.11595180347506913
23.16182645,192.0468292,192.3081947846849,-0.2613655846849099,191.3333714598367,0.857772552169993,0.11705077267818242
23.16911303,192.12231450000002,192.34599742001598,-0.22368292001596046,191.33581310003677,0.8920188956501992,0.11816542432900656
23.17639961,192.2435608,192.3856013078171,-0.14204050781708588,191.33834247967877,0.9279627702001111,0.11929605793820065
23.1836862,192.5572815,192.42710797328363,0.13017352671636218,191.3409596024149,0.9657053890897935,0.12044298177894204
23.19097278,192.85411069999998,192.47062708528847,0.3834836147115084,191.3436644610618,1.0053561174509307,0.12160650677573592
23.19825936,192.96772769999998,192.5162776906591,0.4514500093408742,191.34645705915074,1.0470336753463065,0.12278695616205303
23.20554595,192.7247925,192.56418904918246,0.1606034508175469,191.3493374006951,1.0908669874031087,0.12398466108424047
23.21283253,192.7518921,192.6145015256958,0.13739057430419166,191.3523054777889,1.136996092112055,0.1251999557948544
23.22011911,192.8467407,192.66736820701436,0.1793724929856353,191.35536129432484,1.1855737249384342,0.12643318775107965
23.22740569,192.96994019999997,192.72295599581884,0.24698420418113187,191.358504850303,1.2367664342067233,0.12768471130910986
23.23469228,192.9549255,192.78144725247392,0.1734782475260772,191.36173615021818,1.2907562108901787,0.128954891365582
23.24197886,192.96386719999998,192.84304111758584,0.1208260824141405,191.36505518520107,1.3477418357630848,0.13024409662169054
23.24926544,192.8402252,192.90795580281429,-0.06773060281429366,191.36846195962625,1.407941132875088,0.13155271031296237
23.25655203,192.64138789999998,192.97643035031447,-0.3350424503144893,191.37195647834943,1.4715927465844036,0.13288112538064664
23.26383861,192.6377716,193.04872648545958,-0.41095488545957437,191.3755387317794,1.5389580145066948,0.1342297391735098
23.27112519,192.7269135,193.12513151177737,-0.3982180117773737,191.3792087246514,1.6103238224391063,0.1355989646868814
23.27841177,192.8296204,193.20596044285062,-0.3763400428506145,191.38296645696562,1.686004762274897,0.1369892236101165
23.28569836,192.78665159999997,193.2915588729405,-0.5049072729405282,191.38681193405978,1.7663459884691102,0.13840095041160788
23.29298494,192.96838380000003,193.38230528580615,-0.413921485806128,191.3907451453789,1.8517255555326537,0.13983458489459985
23.30027152,192.9346313,193.47861462281605,-0.5439833228160467,191.39476609614002,1.9425579425081625,0.14129058416787715
23.3075581,193.5292358,193.58094068854473,-0.05170488854471955,191.3988747863434,2.0392964869154526,0.14276941528585288
23.31484469,193.78578190000002,193.68977918071457,0.09600271928545112,191.40307122180832,2.142436399284517,0.144271559621723
23.32213127,193.755249,193.80566957884164,-0.05042057884165274,191.40735539101644,2.2525166828491354,0.14579750497606223
23.32941785,193.5192413,193.92919804105168,-0.4099567410516727,191.41172729966684,2.3701229830390838,0.1473477583457559
23.33670444,193.5452271,194.06099819773138,-0.5157710977313741,191.41618695393993,2.4958884034861324,0.14892284030532316
23.34399102,193.6208038,194.2017505197405,-0.5809467197404956,191.42073434159505,2.6304928993422503,0.1505232788031989
23.3512776,193.8834229,194.35218154559226,-0.4687586455922599,191.42536946869228,2.7746624543221468,0.15214962257782247
