,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.4660855880159109,-0.037586170109426324,-0.017695046654119754,0.00020340585998918022,-0.3022113769498317,0.013400006604355318,7.544106971927205e-06,1.558039769523173e-06,-5.208324810697198,0.43111716810648903,-0.008884975146286783
bcc FeNi Peak 0 Intensity,-0.03758617010942635,0.5006143859140619,0.0013582965585000669,-0.0028752996647543085,0.02362071873508864,-0.1814979066780235,-3.2640006167935514e-06,-1.853549761023642e-07,-3.6021264731943363,0.2934664423594139,-0.00594185399310548
extrapeak Peak Width,-0.017695046654119754,0.0013582965585000669,0.0008193386669593756,-3.5330261342083045e-06,0.011882810829344498,-0.00045622453445522425,1.179102639526732e-07,-3.987941775042801e-08,0.14322976253253464,-0.012442606443655952,0.0002671248470687324
bcc FeNi Peak Width,0.0002034058599891801,-0.002875299664754308,-3.5330261342083045e-06,1.9978055123479936e-05,-0.00011353903382304388,0.0010590398219505342,-3.211049171140788e-08,2.410177312333645e-09,0.04965901596917067,-0.0040649391587628415,8.28194914049116e-05
extrapeak Peak Shape,-0.3022113769498317,0.02362071873508864,0.011882810829344498,-0.000113539033823044,0.19738164432491836,-0.008315240621992372,-3.490562157276655e-06,-9.364589175004076e-07,3.1962446148236183,-0.2666187575657109,0.0055321830863725215
bcc FeNi Peak Shape,0.013400006604355318,-0.18149790667802349,-0.00045622453445522473,0.0010590398219505342,-0.008315240621992388,0.06591547622757223,8.007531423633866e-07,7.678785575387971e-08,1.5161318988279533,-0.1236616393948738,0.0025076175971307318
extrapeak a,7.544106971927205e-06,-3.2640006167935484e-06,1.179102639526732e-07,-3.211049171140791e-08,-3.490562157276655e-06,8.007531423633866e-07,1.2522137748279557e-07,9.005654935282155e-11,-0.0033359176546193642,0.0002697458193021891,-5.4460568141875895e-06
bcc FeNi a,1.558039769523173e-06,-1.8535497610236406e-07,-3.987941775042801e-08,2.410177312333645e-09,-9.364589175004077e-07,7.678785575387968e-08,9.005654935282157e-11,3.201241292371765e-09,2.7783689650983858e-05,-2.463595554945613e-06,5.4091125899160005e-08
Background 0,-5.208324810697198,-3.6021264731943363,0.14322976253253464,0.04965901596917067,3.1962446148236183,1.516131898827953,-0.0033359176546193642,2.7783689650983858e-05,1498.8789630587312,-122.17982592100921,2.4856088582248668
Background 1,0.431117168106489,0.2934664423594139,-0.01244260644365595,-0.0040649391587628415,-0.26661875756571085,-0.12366163939487379,0.0002697458193021891,-2.463595554945613e-06,-122.17982592100921,9.963322398670199,-0.2027684196828987
Background 2,-0.008884975146286783,-0.00594185399310548,0.00026712484706873247,8.281949140491163e-05,0.0055321830863725215,0.0025076175971307318,-5.446056814187589e-06,5.4091125899160005e-08,2.485608858224867,-0.20276841968289872,0.004128114171876032
