Folder,Index,Emin start,Emin end,Step size,Emax start,Emax end
2009Oct_30GPa,Fe_Murphy_P1,0,22,0.25,0,22
2009Oct_36GPa,Fe_Murphy_P2,0,25,0.25,0,25
2009Oct_53GPa,Fe_Murphy_P3,0,27,0.25,0,27
2009Oct_69GPa,Fe_Murphy_P4,0,27,0.25,0,27
2009Oct_77GPa,Fe_Murphy_P5,0,26,0.25,0,26
2009Oct_90GPa,Fe_Murphy_P6,0,27,0.25,0,27
2009Oct_106GPa,Fe_Murphy_P7,0,27,0.25,0,27
2009Oct_121GPa,Fe_Murphy_P8,0,30,0.25,0,30
2009Oct_133GPa,Fe_Murphy_P9,0,33,0.25,0,33
2010Aug_151GPa,Fe_Murphy_P10,0,32,0.25,0,32
2011Feb_171GPa,Fe_Murphy_P11,0,34,0.25,0,34
2015Mar_Ambient,Fe_Ambient,0,18,0.25,0,18
