Folder,Index,Emin,Emax
2009Oct_30GPa,Fe_Murphy_P1,3,15
2009Oct_36GPa,Fe_Murphy_P2,3.5,14.5
2009Oct_53GPa,Fe_Murphy_P3,3,18
2009Oct_69GPa,Fe_Murphy_P4,3,13
2009Oct_77GPa,Fe_Murphy_P5,3,18.5
2009Oct_90GPa,Fe_Murphy_P6,3.5,17
2009Oct_106GPa,Fe_Murphy_P7,3,17
2009Oct_121GPa,Fe_Murphy_P8,3.5,22
2009Oct_133GPa,Fe_Murphy_P9,4.25,20
2010Aug_151GPa,Fe_Murphy_P10,3,18.5
2011Feb_171GPa,Fe_Murphy_P11,4,22
2015Mar_Ambient,Fe_Ambient,3,12.75
