,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,4.019976114853969,-0.23910330513202094,-0.005833302358071121,0.003203072383502327,-0.7526705870961546,0.2522577696563951,-6.574431831734469e-08,9.767840986084736e-06,-44.756050419805796,3.6738471248380806,-0.07511356716065283
extrapeak Peak 0 Intensity,-0.23910330513202105,2.074713344110628,0.0004288916261151565,-0.044572058717538145,0.045420437960013875,-2.323667112490706,1.6868528492062545e-06,5.521039301607631e-06,-8.42748978281547,0.7030653969384285,-0.014581300187314643
bcc FeNi Peak Width,-0.005833302358071122,0.00042889162611515645,9.942745030116638e-06,-4.04108442074142e-06,0.0011009302493781101,-0.0004414118716595181,5.589915793807615e-10,-3.9919308582959044e-08,0.09942253440922497,-0.008165057919729555,0.00016705975310599407
extrapeak Peak Width,0.003203072383502327,-0.04457205871753816,-4.0410844207414265e-06,0.0011964065573050575,-0.0005905099671518573,0.05102614631048662,-2.9718704092301645e-08,2.5076412350628115e-07,0.10794778807059817,-0.0101954016546549,0.0002329979616715246
bcc FeNi Peak Shape,-0.7526705870961546,0.04542043796001389,0.0011009302493781101,-0.0005905099671518573,0.14100702834227102,-0.04780197363368761,1.5189416125981687e-08,-2.088050776398552e-06,8.712050837279909,-0.7151767906609655,0.01462336677144368
extrapeak Peak Shape,0.2522577696563951,-2.3236671124907065,-0.0004414118716595183,0.051026146310486624,-0.04780197363368761,2.6093275288059132,-1.838985953847239e-06,-3.835641318581963e-06,9.026290151123163,-0.7606208914718247,0.015912858825879568
bcc FeNi a,-6.57443183173448e-08,1.6868528492062547e-06,5.589915793807617e-10,-2.9718704092301645e-08,1.5189416125981716e-08,-1.838985953847239e-06,1.704702113248797e-09,6.799056099067073e-11,-1.0426763503061115e-06,-6.760439452584073e-08,4.450701574619645e-09
extrapeak a,9.767840986084743e-06,5.521039301607632e-06,-3.9919308582959044e-08,2.507641235062811e-07,-2.088050776398551e-06,-3.835641318581961e-06,6.799056099067073e-11,2.3605158846070375e-07,-0.006229327783381731,0.0005046292350196788,-1.0206413341973044e-05
Background 0,-44.756050419805796,-8.42748978281547,0.09942253440922497,0.10794778807059817,8.712050837279909,9.026290151123163,-1.0426763503061115e-06,-0.006229327783381732,6527.867147229843,-532.8734291775885,10.856533597222164
Background 1,3.6738471248380806,0.7030653969384285,-0.008165057919729553,-0.0101954016546549,-0.7151767906609654,-0.7606208914718247,-6.76043945258407e-08,0.0005046292350196789,-532.8734291775885,43.5129484577136,-0.8867899209163711
Background 2,-0.07511356716065284,-0.014581300187314643,0.00016705975310599407,0.0002329979616715246,0.014623366771443679,0.015912858825879565,4.450701574619645e-09,-1.0206413341973045e-05,10.856533597222164,-0.8867899209163711,0.018078089722985236
