2theta,Intensity,Model,Residual,Background,hcp FeNi,extrapeak
22.00325979,350.72906489999997,350.73806987031077,-0.009004970310797944,350.5748219185485,0.020324897931553385,0.14292305383075715
22.01054637,350.68368530000004,350.7958030930713,-0.11211779307126335,350.63117719740893,0.02045550903750123,0.1441703866248885
22.01783295,350.7998962,350.85364437659274,-0.05374817659276232,350.68762279542653,0.020587485511083643,0.1454340956551498
22.02511954,350.45385739999995,350.9115941077034,-0.4577367077034751,350.7441587902526,0.020720847257748025,0.146714470193092
22.03240612,350.3321533,350.96965244125846,-0.637499141258445,350.80078502670887,0.02085561399456052,0.1480118005550602
22.0396927,350.2294006,351.02781977749095,-0.7984191774909277,350.85750158232247,0.02099180635632271,0.14932638881217297
22.04697928,350.1443176,351.0860964442247,-0.9417788442247002,350.9143084570933,0.02112944517363583,0.1506585419577828
22.05426587,350.10153199999996,351.14448285672006,-1.042950856720097,350.9712057291682,0.0212685518553336,0.15200857569648077
22.06155245,350.6940613,351.20297919720133,-0.5089178972013428,351.02819324237754,0.021409147631502895,0.15337680719231522
22.06883903,351.03460689999997,351.2615858958261,-0.2269789958261299,351.0852710747441,0.021551254707774067,0.15476356637422106
22.07612562,351.00466919999997,351.32030339118546,-0.3156341911854952,351.14243930478676,0.021694895711054665,0.15616919068764426
22.0834122,350.71032710000003,351.37913188808477,-0.6688047880847421,351.19969777559197,0.021840093098167267,0.15759401939460832
22.09069878,350.5534363,351.4380718412581,-0.884635541258092,351.25704656555445,0.021986870348198993,0.15903840535543676
22.09798536,350.6558838,351.4971236334138,-0.8412398334137947,351.31448567467413,0.022135251185989642,0.1605027075537036
22.10527195,350.62146,351.5562877372464,-0.934827737246394,351.37201518196565,0.02228525999533586,0.16198729528541864
22.11255853,350.77072139999996,351.615564390738,-0.8448429907380159,351.4296349295239,0.022436921003690335,0.16349254021037535
22.11984511,350.9866028,351.6749540845796,-0.6883512845795963,351.4873449962395,0.022590259528015643,0.1650188288121253
22.1271317,351.4119873,351.73445731953683,-0.32247001953680865,351.54514546149875,0.022745301378512228,0.16656655665957576
22.13441828,351.5854187,351.79407436103065,-0.20865566103066158,351.6030361666528,0.02290207222120081,0.16813612215664805
22.14170486,351.38970950000004,351.85380572937623,-0.4640962293761959,351.66101719096406,0.023060598866112753,0.16972793954605617
22.14899144,351.2524109,351.91365187357496,-0.6612409735749907,351.71908853443273,0.023220908430459857,0.1713424307117806
22.15627803,351.24996949999996,351.9736133355565,-0.7236438355565156,351.77725027694083,0.023383028786210517,0.1729800298294617
22.16356461,351.436554,352.0336904211603,-0.5971364211603145,351.83550225884807,0.023546987680210317,0.174641174632029
22.17085119,351.2407532,352.09388369418434,-0.85313049418437,351.89384455991257,0.02371281408198477,0.17632632018977476
22.17813777,350.9961243,352.1541936477033,-1.1580693477033037,351.95227718013416,0.023880537309575636,0.1780359302595739
22.18542436,350.5379333,352.2146208696208,-1.6766875696207535,352.0108001998912,0.02405018749858722,0.17977048223097075
22.19271094,350.6304016,352.27516571113154,-1.6447641111315079,352.0694134585515,0.024221794682274488,0.181530457897771
22.19999752,350.956604,352.3358287846506,-1.379224784650546,352.1281170363691,0.024395390202851978,0.18331635807862443
22.20728411,351.2281799,352.39661071612005,-1.1684308161200647,352.1869110140938,0.024571006040127526,0.1851286959861109
22.21457069,351.694519,352.45751189440864,-0.7629928944086259,352.2457952303498,0.02474867409143371,0.18696798996738262
22.22185727,351.96408080000003,352.51853297219793,-0.5544521721978981,352.3047697657632,0.024928427633319906,0.18883477880141922
22.22914385,352.2404175,352.5796745328855,-0.3392570328855413,352.3638346203338,0.025110300376459012,0.19072961217526493
22.23643044,352.23889160000004,352.6409372584976,-0.40204565849757046,352.4229898753075,0.02529432697591267,0.192653056214193
22.24371702,352.4425659,352.7023215936512,-0.2597556936512433,352.4822353683167,0.025480542035038935,0.19460568329947173
22.2510036,352.59371949999996,352.76382825045715,-0.17010875045718876,352.54157118048306,0.025668981638322003,0.19658808833578148
22.25829018,352.8422546,352.8254578728473,0.016796727152666335,352.60099731180685,0.02585968236224394,0.19860087867821513
22.26557677,353.2382507,352.88721120588093,0.3510394941190498,352.6605138440293,0.026052681811428814,0.20064468004021352
22.27286335,353.5182495,352.94908875707654,0.5691607429234864,352.72012061379166,0.02624801757517601,0.20272012570972495
22.28014993,353.794281,353.01109130542,0.7831896945800167,352.7798177027112,0.026445728836318454,0.20482787387246862
22.28743652,353.87271119999997,353.0732196484231,0.7994915515768639,352.83960519290144,0.026645855611590864,0.20696859991004887
22.2947231,353.74960330000005,353.13547434611195,0.6141289538880983,352.8994829202594,0.026848437933912374,0.20914298791863786
22.30200968,353.49993900000004,353.1978562331829,0.3020827668171364,352.95945096677485,0.0270535175217392,0.21135174888630456
22.30929626,353.443634,353.26036607871293,0.18326792128704028,353.0195093324475,0.02726113670601608,0.21359560955938287
22.31658285,353.4516296,353.3230047580068,0.1286248419932008,353.0796580998866,0.027471339016275582,0.21587531910392285
22.32386943,352.9427795,353.3857729092014,-0.44299340920144914,353.1398971039978,0.027684168046724723,0.2181916371569005
22.33115601,352.80334469999997,353.4486714497117,-0.6453267497117281,353.2002264272662,0.027899669211272578,0.22054535323418653
22.3384426,353.083252,353.5117013198299,-0.42844931982989465,353.260646152673,0.028117888919586678,0.22293727823728357
22.34572918,353.3491211,353.57486322312894,-0.2257421231289527,353.32115611438,0.02833887368789849,0.22536823506104045
22.35301576,353.6595764,353.6381581462071,0.021418253792887754,353.38175639524434,0.02856267196233857,0.22783907900045175
