,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.05561976855868398,-0.0010214390310198714,0.06406359048987956,-0.031685268903337206,-0.00017624366877346768,3.52224264141055e-05,-0.00041548621931485644,0.00955148704069264,1.6029636850603162e-05,-8.452302374413687e-05,1.1107885973132351e-05,-0.03381345712230182,0.0023709372531466977,-3.816176893037471e-05
hcp FeNi Peak 1 Intensity,-0.0010214390310198716,0.009194035004588758,-0.0024044362573032896,-0.0039477355129243635,2.5261483618346935e-05,4.917745815997592e-05,2.4526836744094726e-05,0.001428915780974787,-4.544246311449586e-07,3.354305093425551e-06,-9.00047717907994e-08,0.15878885082093006,-0.01246779169826043,0.0002408438722604671
hcp FeNi Peak 2 Intensity,0.06406359048987956,-0.0024044362573032896,0.1219208944160381,0.013557700812621996,-0.00034944192406964386,-0.00012333164045193708,-0.0007286798137272093,-0.004548498586514171,-9.33292404572132e-07,4.3838205921105365e-06,6.04904586597621e-06,-0.13809539108705415,0.010817110800133842,-0.0002051696183500824
extrapeak Peak 0 Intensity,-0.031685268903337206,-0.0039477355129243635,0.013557700812621996,0.4204789038749758,-3.519511387431732e-05,-0.003233090999772083,-0.00010397897956769483,-0.1427114205484802,-6.321487250918901e-05,0.0003322757768745249,-1.9271773097414054e-05,-0.05050650148548399,0.006495848599755839,-0.00016504001859604233
hcp FeNi Peak Width,-0.00017624366877346768,2.5261483618346935e-05,-0.00034944192406964386,-3.519511387431733e-05,1.6465598820457576e-06,3.40947557152412e-08,2.147978363232892e-06,8.576090551276669e-06,3.122005086791753e-08,-1.678309743349262e-07,-1.061327197199073e-08,0.0009924018737545652,-7.511839171858186e-05,1.379471002013388e-06
extrapeak Peak Width,3.52224264141055e-05,4.917745815997593e-05,-0.00012333164045193708,-0.003233090999772083,3.409475571524123e-08,3.219055937928686e-05,1.051793791919057e-06,0.001130642698989441,2.766515067797773e-07,-1.4204636307937518e-06,6.447451509408273e-08,0.0008223313847245844,-9.658682723025805e-05,2.3863996172891427e-06
hcp FeNi Peak Shape,-0.00041548621931485644,2.4526836744094726e-05,-0.0007286798137272091,-0.00010397897956769483,2.147978363232892e-06,1.0517937919190569e-06,4.734673885496639e-06,3.60539582543523e-05,-3.016631200802884e-09,1.762046883676789e-08,-4.090928394623502e-08,0.0011041855088780507,-8.534655259076028e-05,1.5953510973901363e-06
extrapeak Peak Shape,0.00955148704069264,0.0014289157809747872,-0.004548498586514172,-0.1427114205484802,8.576090551276669e-06,0.0011306426989894413,3.60539582543523e-05,0.04864189310299635,1.9832736166895854e-05,-0.00010400851798280296,5.991410649804486e-06,0.019791767149145982,-0.002492112957914582,6.297996965739685e-05
hcp FeNi a,1.6029636850603162e-05,-4.5442463114495845e-07,-9.33292404572132e-07,-6.321487250918901e-05,3.1220050867917524e-08,2.766515067797773e-07,-3.0166312008028802e-09,1.9832736166895854e-05,3.7940251077788745e-08,-2.0235297383287306e-07,9.531911573056686e-09,-5.8829386604554694e-05,4.789374482512838e-06,-9.689696447611145e-08
hcp FeNi c,-8.452302374413687e-05,3.354305093425551e-06,4.383820592110535e-06,0.0003322757768745249,-1.678309743349262e-07,-1.4204636307937514e-06,1.762046883676792e-08,-0.00010400851798280293,-2.0235297383287306e-07,1.2527344896522295e-06,-5.064862825640175e-08,0.00047706347918825896,-3.876635187170368e-05,7.8206469274029e-07
extrapeak a,1.1107885973132351e-05,-9.00047717907994e-08,6.04904586597621e-06,-1.9271773097414054e-05,-1.0613271971990736e-08,6.447451509408273e-08,-4.0909283946235024e-08,5.991410649804485e-06,9.531911573056686e-09,-5.0648628256401737e-08,9.893590034219457e-09,-1.5266524166858734e-05,1.1474834891936717e-06,-2.135737624396187e-08
Background 0,-0.03381345712230182,0.15878885082093006,-0.13809539108705415,-0.05050650148548399,0.0009924018737545652,0.0008223313847245844,0.0011041855088780507,0.019791767149145982,-5.8829386604554694e-05,0.00047706347918825896,-1.5266524166858737e-05,17.796638832929965,-1.404478937393518,0.027474810318507206
Background 1,0.0023709372531466977,-0.01246779169826043,0.010817110800133842,0.006495848599755839,-7.511839171858186e-05,-9.658682723025805e-05,-8.534655259076028e-05,-0.002492112957914582,4.7893744825128384e-06,-3.876635187170368e-05,1.1474834891936717e-06,-1.404478937393518,0.11102657621803529,-0.0021754614497258695
Background 2,-3.816176893037471e-05,0.0002408438722604671,-0.0002051696183500824,-0.00016504001859604233,1.3794710020133881e-06,2.3863996172891427e-06,1.5953510973901363e-06,6.297996965739687e-05,-9.689696447611146e-08,7.8206469274029e-07,-2.1357376243961875e-08,0.027474810318507206,-0.0021754614497258695,4.269493911349212e-05
