Parameters,Values,Std
hcp FeNi Peak 0 Intensity,18.437466874025436,0.2358384374072301
hcp FeNi Peak 1 Intensity,6.259214714177916e-32,0.0958855307363356
hcp FeNi Peak 2 Intensity,32.84351812515504,0.34917172625520254
extrapeak Peak 0 Intensity,3.6590893232302144,0.6484434469365665
hcp FeNi Peak Width,0.21318431245391598,0.001283183495080013
extrapeak Peak Width,0.21973210100943383,0.005673672477266101
hcp FeNi Peak Shape,0.03314842271811823,0.0021759305791997684
extrapeak Peak Shape,0.9999999321789492,0.22054907187063008
hcp FeNi a,2.3892006393533793,0.00019478257385553962
hcp FeNi c,3.7859533356874797,0.0011192562216276619
extrapeak a,2.965080925596879,9.946652720498216e-05
Background 0,592.3259833065675,4.218606266639489
Background 1,-29.702043994847873,0.3332065068662905
Background 2,0.8505550085436715,0.006534136447419209
