,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNi Peak 0 Intensity,0.12167925917960298,-0.006058363594144356,0.1504499490080471,-0.013059241347125187,-0.0003338426958056993,0.00028110705097421514,-0.0007356350446771761,0.00018277417798293375,-1.1294335489981727e-07,1.5313253954962207e-07,-7.459716150915519e-06,6.552951450091567,-0.7683224447891819,0.029834728064744454,-0.00038360989377749037
hcp FeNi Peak 1 Intensity,-0.006058363594144356,0.019009040562030868,-0.005023733934212569,0.0021731410842669068,3.789320094127274e-05,-3.398901162824441e-05,4.227008315048577e-05,-2.7451731007551083e-05,-3.3219319069068595e-07,2.9326994016912663e-06,6.830285835087146e-08,-2.540777941638963,0.30383023318149865,-0.012035479736218675,0.00015782022682940796
hcp FeNi Peak 2 Intensity,0.15044994900804706,-0.005023733934212568,0.24919222777277183,-0.01717432453143471,-0.0004946193018894452,0.00018505331543524923,-0.0011052668799661697,0.00015985120044802328,-2.0422282153737096e-07,-2.5559441412796453e-08,-1.0669991619660474e-05,0.5620220953674165,-0.07523509830364786,0.003283074830150246,-4.659376189377025e-05
extrapeak Peak 0 Intensity,-0.01305924134712518,0.002173141084266907,-0.017174324531434724,0.2865906072051299,7.052203871112185e-05,-0.0016847823643393377,8.834977364606152e-05,-0.002850282390317221,4.525468392392577e-06,-2.397624760669872e-05,1.6988272681185744e-06,-3.7012462373554373,0.43500138787014025,-0.016908828334938182,0.00021748644546050176
hcp FeNi Peak Width,-0.0003338426958056993,3.789320094127274e-05,-0.0004946193018894452,7.052203871112185e-05,1.5875298997287352e-06,-7.583402443350015e-07,2.2974695773520067e-06,-7.022565863143897e-07,-5.366875183061476e-10,8.595483535802194e-09,2.9154740477482357e-08,-0.013803757872579715,0.0016567734814658946,-6.583444445740158e-05,8.649944682439716e-07
extrapeak Peak Width,0.0002811070509742151,-3.398901162824441e-05,0.00018505331543524923,-0.0016847823643393377,-7.583402443350015e-07,1.8206831338715124e-05,-1.1789920801793621e-06,1.6481731873994548e-05,-3.8989370990687285e-08,2.0874816129688175e-07,-2.5392135018041018e-08,0.10018945643397006,-0.011699998895867194,0.0004522057145357063,-5.7873912746082494e-06
hcp FeNi Peak Shape,-0.0007356350446771761,4.2270083150485765e-05,-0.0011052668799661697,8.834977364606148e-05,2.2974695773520067e-06,-1.178992080179362e-06,5.356286722931276e-06,-9.42389469123894e-07,5.7226072650511855e-11,6.2053962464115314e-09,4.9955250713398445e-08,-0.01889115340491395,0.0022592432184701736,-8.945553229623295e-05,1.1713212048537672e-06
extrapeak Peak Shape,0.00018277417798293375,-2.7451731007551083e-05,0.00015985120044802328,-0.002850282390317221,-7.022565863143899e-07,1.6481731873994548e-05,-9.42389469123894e-07,3.19526176257983e-05,-4.569477071180405e-08,2.4341261199229966e-07,-1.927292023641911e-08,0.06906451356949594,-0.008082651251690014,0.00031297077249763355,-4.011742638768801e-06
hcp FeNi a,-1.1294335489981735e-07,-3.3219319069068606e-07,-2.0422282153737096e-07,4.525468392392577e-06,-5.366875183061462e-10,-3.8989370990687285e-08,5.7226072650512553e-11,-4.569477071180405e-08,1.1356282362431584e-08,-6.045127995539053e-08,1.075088849800633e-09,1.574191795029789e-05,-2.6017278629579554e-06,1.3050127918744282e-07,-2.0496428416639385e-09
hcp FeNi c,1.5313253954962136e-07,2.9326994016912667e-06,-2.555944141279574e-08,-2.397624760669872e-05,8.595483535802197e-09,2.0874816129688175e-07,6.2053962464115314e-09,2.4341261199229966e-07,-6.045127995539053e-08,4.997758517265009e-07,-5.892651019084925e-09,-0.0006152214634428083,7.950307542981455e-05,-3.3818386724284416e-06,4.7319449624129626e-08
extrapeak a,-7.4597161509155175e-06,6.830285835087128e-08,-1.0669991619660474e-05,1.6988272681185736e-06,2.9154740477482354e-08,-2.539213501804101e-08,4.9955250713398445e-08,-1.9272920236419106e-08,1.075088849800633e-09,-5.892651019084926e-09,1.189946515454661e-07,-0.0008625013118903721,9.79313219401991e-05,-3.688141878508169e-06,4.607032531036615e-08
Background 0,6.552951450091566,-2.540777941638963,0.5620220953674165,-3.701246237355437,-0.013803757872579711,0.10018945643397006,-0.01889115340491395,0.06906451356949593,1.5741917950297887e-05,-0.0006152214634428082,-0.0008625013118903721,4297.621231040502,-501.0679465956934,19.364366112183287,-0.2480859031329397
Background 1,-0.7683224447891819,0.30383023318149865,-0.07523509830364786,0.43500138787014025,0.0016567734814658941,-0.011699998895867194,0.0022592432184701736,-0.008082651251690014,-2.6017278629579554e-06,7.950307542981455e-05,9.79313219401991e-05,-501.0679465956934,58.44741087367568,-2.2597995299715885,0.02896423038612622
Background 2,0.029834728064744454,-0.012035479736218675,0.003283074830150246,-0.016908828334938182,-6.583444445740157e-05,0.0004522057145357063,-8.945553229623295e-05,0.00031297077249763355,1.305012791874428e-07,-3.3818386724284416e-06,-3.688141878508168e-06,19.36436611218329,-2.2597995299715885,0.08741212359670915,-0.001120875423745791
Background 3,-0.00038360989377749037,0.00015782022682940796,-4.659376189377025e-05,0.00021748644546050165,8.649944682439716e-07,-5.7873912746082494e-06,1.1713212048537672e-06,-4.011742638768801e-06,-2.0496428416639377e-09,4.731944962412962e-08,4.607032531036614e-08,-0.2480859031329397,0.02896423038612622,-0.0011208754237457908,1.4379184693176587e-05
