Parameters,Values,Std
hcp FeNi Peak 0 Intensity,22.665368645957834,0.3488255426135004
hcp FeNi Peak 1 Intensity,4.794066185837187e-15,0.13787327718608441
hcp FeNi Peak 2 Intensity,35.16588499201852,0.4991915742205309
extrapeak Peak 0 Intensity,11.49802653804639,0.5353415799329713
hcp FeNi Peak Width,0.171808909511613,0.0012599721821249608
extrapeak Peak Width,0.16312378250564188,0.0042669463716708605
hcp FeNi Peak Shape,0.02921568779867554,0.0023143652959140386
extrapeak Peak Shape,3.4429114294723413e-28,0.005652664648269725
hcp FeNi a,2.328754274478451,0.0001065658592722434
hcp FeNi c,3.691993455417794,0.0007069482666549943
extrapeak a,2.9476928648870313,0.0003449560139285386
Background 0,2691.6688233817654,65.55624479056516
Background 1,-265.91275530891346,7.645090638682819
Background 2,10.42134373476127,0.29565541360967695
Background 3,-0.13359397319472835,0.003791989542862241
