NRIXS exp,a,da,c,dc,V range,P range,V,dV,rho,drho,P,dP,K_T
FeNi_DAC11_P14,2.29882,0.00013,3.65436,0.00112,0.0,0.0,16.724,0.005,11.339,0.004,104.1,0.17,620.0
FeNi_DAC11_P3,2.45382,0.00011,3.94803,0.00027,0.002,0.03,20.587,0.002,9.211,0.001,17.96,0.16,251.0
FeNi_DAC11_P4,2.43844,0.00014,3.92492,0.00056,0.009,0.13,20.211,0.004,9.383,0.002,22.79,0.12,274.0
FeNi_DAC11_P5,2.39868,0.00024,3.83085,0.00127,0.132,2.46,19.088,0.007,9.934,0.004,40.74,0.08,357.0
FeNi_DAC11_P6,2.38894,0.00014,3.78846,0.00082,0.017,0.35,18.724,0.005,10.128,0.003,47.92,0.07,388.0
FeNi_DAC11_P7,2.35904,0.00013,3.74846,0.0008,0.022,0.56,18.066,0.004,10.497,0.003,62.96,0.09,453.0
FeNi_DAC11_P8,2.34146,9e-05,3.70775,0.00052,0.013,0.38,17.604,0.003,10.772,0.002,75.34,0.1,504.0
FeNi_DAC11_P9,2.32995,0.00011,3.68658,0.00067,0.015,0.48,17.332,0.004,10.941,0.002,83.46,0.12,538.0
