NRIXS exp,a,da,V range,P range,V,dV,rho,drho,P,dP,K_T
FeNi_Ambient,2.87368,2e-05,0.264,1.59,23.731,0.001,7.991,0.0,0.0,0.0,147.0
FeNi_DAC11_P1,2.84707,3e-05,0.127,0.94,23.078,0.001,8.217,0.0,3.78,0.68,171.0
FeNi_DAC11_P2,2.82487,2e-05,0.141,1.22,22.542,0.001,8.412,0.0,8.08,0.54,196.0
FeNi_DAC14_P1,2.85925,3e-05,0.0,0.0,23.375,0.001,8.113,0.0,1.68,0.76,157.0
FeNi_DAC14_P2,2.843,3e-05,0.002,0.01,22.979,0.001,8.252,0.0,4.52,0.65,175.0
