NRIXS exp,a,da,c,dc,V range,P range,V,dV,rho,drho,P,dP,K_T
FeNiSi_DAC13_P1,2.43182,0.00018,3.8859,0.00157,0.101,1.43,19.901,0.009,9.05,0.004,27.89,0.11,281.0
FeNiSi_DAC13_P2,2.40759,0.00035,3.84574,0.00203,0.141,2.39,19.305,0.012,9.329,0.006,37.13,0.11,327.0
FeNiSi_DAC13_P3,2.3786,0.0004,3.89551,0.00246,0.2,3.63,19.087,0.014,9.436,0.007,40.97,0.13,347.0
FeNiSi_DAC13_P4,2.3656,0.00034,3.79605,0.00212,0.092,2.06,18.397,0.012,9.79,0.006,54.92,0.13,413.0
FeNiSi_DAC13_P5,2.34623,0.00028,3.73978,0.00163,0.066,1.77,17.829,0.009,10.102,0.005,68.87,0.14,478.0
FeNiSi_DAC13_P6,2.33068,0.00054,3.66851,0.00261,0.0,0.0,17.258,0.015,10.436,0.009,85.61,0.31,553.0
