,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,12.777159504799974,-0.47462776063172707,-0.010805144550109133,0.0013932783621467182,-1.42596182351552,0.24634608359803406,-6.819551129307862e-08,2.7742728228059448e-05,-132.08130948458268,10.795388868294747,-0.219740120714226
extrapeak Peak 0 Intensity,-0.4746277606317267,7.290734442713059,0.000352753798457463,-0.06823741072218827,0.052275816421341104,-4.1548880057876305,1.434326521893625e-06,-1.8773410446675376e-06,-23.3951025850944,2.0158014275572964,-0.042965504530216275
bcc FeNi Peak Width,-0.010805144550109133,0.000352753798457463,1.0728533871212358e-05,8.536950509134543e-07,0.0012152395307810635,-0.0001691606870286124,5.38038925125154e-10,-4.542577227310745e-08,0.17297045582761506,-0.014146188424469616,0.0002882157751055084
extrapeak Peak Width,0.0013932783621467154,-0.06823741072218827,8.536950509134543e-07,0.0007826007418216441,-0.00013367528100245358,0.039581310547165294,-7.2087536472935e-09,1.993037370572867e-07,0.12515922206285682,-0.012503315173409336,0.0002965817386175133
bcc FeNi Peak Shape,-1.42596182351552,0.05227581642134115,0.0012152395307810635,-0.00013367528100245395,0.1592295646436586,-0.02698673337268043,1.0915077387398145e-08,-3.315056922218666e-06,15.33655703444325,-1.253592317713124,0.02551966461598483
extrapeak Peak Shape,0.24634608359803406,-4.1548880057876305,-0.00016916068702861256,0.039581310547165294,-0.02698673337268043,2.3724096398443284,-7.69890593990429e-07,2.312567642870116e-06,12.735642598072623,-1.1090063789605558,0.023842029916088563
bcc FeNi a,-6.819551129307844e-08,1.434326521893625e-06,5.38038925125154e-10,-7.208753647293498e-09,1.0915077387398135e-08,-7.698905939904291e-07,1.8334115661551522e-09,1.07316183298927e-11,7.614191805612959e-05,-6.499926077625414e-06,1.381506093060568e-07
extrapeak a,2.7742728228059438e-05,-1.8773410446675403e-06,-4.542577227310745e-08,1.9930373705728677e-07,-3.315056922218666e-06,2.3125676428701174e-06,1.07316183298927e-11,1.5349248021094893e-07,-0.008009760084903363,0.0006488449789159204,-1.31216927186074e-05
Background 0,-132.08130948458265,-23.3951025850944,0.17297045582761503,0.12515922206285682,15.33655703444325,12.735642598072621,7.614191805612959e-05,-0.008009760084903363,19928.005454108017,-1625.5250626167788,33.093505958485494
Background 1,10.795388868294747,2.015801427557297,-0.014146188424469616,-0.012503315173409336,-1.2535923177131243,-1.1090063789605558,-6.499926077625416e-06,0.0006488449789159204,-1625.5250626167788,132.63592538154631,-2.701111426322702
Background 2,-0.219740120714226,-0.04296550453021627,0.00028821577510550835,0.0002965817386175133,0.02551966461598483,0.02384202991608856,1.381506093060568e-07,-1.31216927186074e-05,33.093505958485494,-2.701111426322702,0.055023928858230216
