2theta,Intensity,Model,Residual,Background,bcc FeNi,extrapeak
23.0023113,557.0664062000001,559.5035507955236,-2.4371445955234776,558.7104210881253,0.20061477962053453,0.5925149277777962
23.00959723,556.7125854,559.3164083940643,-2.6038229940643305,558.5059092961869,0.20233614905556763,0.6081629488217729
23.01688316,556.9285278,559.1304884781033,-2.201960678103319,558.3019751014676,0.20407976051315443,0.6244336161225451
23.02416909,557.59375,558.9458245997193,-1.3520745997193444,558.0986185039656,0.2058459986883801,0.6413600970654638
23.03145502,557.7177734,558.7624525354679,-1.0446791354678453,557.895839503683,0.2076352566261645,0.6589777751588081
23.03874095,557.7485962000001,558.5804104647598,-0.8318142647597142,557.6936381006176,0.2094479359396099,0.6773244282025276
23.04602688,557.6288452,558.3997391650021,-0.7708939650020739,557.4920142947703,0.21128444703502283,0.6964404231967055
23.0533128,557.8813477000001,558.220482470314,-0.3391347703138763,557.2909683616831,0.21314520677312215,0.7163689018577093
23.06059873,557.1196289,558.0426865235639,-0.9230576235639774,557.0904997494795,0.21503064895697616,0.7371561251274871
23.06788466,556.739624,557.8664015097202,-1.1267775097201138,556.8906087344944,0.2169412092559585,0.758851565969776
23.07517059,555.9443359,557.6916809521292,-1.7473450521291625,556.691295316728,0.2188773356416499,0.781508299759589
23.08245652,556.1390991000001,557.5185822701699,-1.3794831701698058,556.4925594961787,0.2208394861128566,0.805183287878312
23.08974245,556.3803101,557.3471671213377,-0.9668570213377734,556.294401272849,0.2228281289660328,0.829937719522747
23.09702838,557.0106812000001,557.177501778384,-0.166820578383863,556.096820646736,0.22484374307426183,0.8558373885738118
23.10431431,556.9789429,557.0096575456408,-0.03071464564084181,555.8998176178425,0.22688681817507517,0.8829531096233241
23.11160023,556.7797852000001,556.8437114455502,-0.06392624555007842,555.7033924553648,0.22895785230552498,0.9113611378799171
23.11888616,556.3354492000001,556.679745819372,-0.34429661937190303,555.5075446201149,0.231057363517004,0.9411438357401125
23.12617209,556.4771118,556.5178502580877,-0.04073845808773058,555.3122743820832,0.23318587313758818,0.9723900028669245
23.13345802,556.7584839,556.3581213145462,0.40036258545376313,555.1175817412682,0.2353439174295044,1.0051956558485247
23.14074395,556.8433227999999,556.2006634279115,0.6426593720883602,554.9234666976727,0.23753204510313283,1.0396646851357696
23.14802988,556.6351929,556.0455896971919,0.5896032028081208,554.7299292512944,0.2397508176652027,1.0759096282322527
23.15531581,556.5383301,555.8930227429312,0.645307357068873,554.5369694021356,0.2420008097784166,1.114052531017235
23.16260174,556.3344116000001,555.7430956684027,0.5913159315973644,554.3445871501945,0.24428260963289805,1.154225908575323
23.16988766,556.3890381,555.5959533333079,0.7930847666921181,554.1527827583286,0.24659681613115064,1.1965737588480687
23.17717359,556.3272705,555.4517527508473,0.8755177491527775,553.9615557000311,0.24894405203396577,1.241252998782161
23.18445952,556.3234252999999,555.3106656453299,1.0127596546700488,553.7709062389517,0.25132494531380584,1.2884344610643423
23.19174545,556.147644,555.1728791498537,0.9747648501463573,553.580834375091,0.25374014223791674,1.3383046325247876
23.19903138,555.6116943,555.0385977062205,0.5730965937794963,553.3913401084469,0.2561903046522122,1.3910672931213837
23.20631731,555.3457031,554.9080449732437,0.4376581267563324,553.2024234390228,0.25867611043386163,1.446945423787039
23.21360324,555.3556518999999,554.7814659770386,0.5741859229613056,553.0140843668164,0.2611982539593044,1.5061833562629174
23.22088917,555.4925537,554.6591295375641,0.8334241624359038,552.8263228918277,0.2637574465882548,1.5690491991482411
23.22817509,555.0817871,554.541331169268,0.5404559307320369,552.6391392705727,0.2663544135737348,1.6358374851215245
23.23546102,554.6234741000001,554.4283955439156,0.1950785560844679,552.4525329892276,0.2689899088891308,1.7068726457988725
23.24274695,553.8178711,554.3206809784635,-0.5028098784634949,552.2665043051015,0.2716646943794833,1.782511978982485
23.25003288,553.3088989,554.2185827730125,-0.9096838730124546,552.081053218194,0.2743795545205273,1.8631500002978938
23.25731881,552.2536011,554.1225379111967,-1.8689368111967042,551.8961797285028,0.27713529345450355,1.9492228892393308
23.26460474,552.3233642999999,554.0330302203496,-1.709665920349721,551.7118838360316,0.27993273558444537,2.041213648733557
23.27189067,552.7576293999999,553.9505962489407,-1.1929668489407277,551.5281655407771,0.28277272618953575,2.1396579819740924
23.2791766,553.5608521,553.8758319677514,-0.31497986775139,551.3450248427421,0.2856561320623433,2.245150992946986
23.28646252,553.7863769999999,553.8094005017466,-0.023023501746706643,551.1624619920976,0.2885838381197532,2.358354671529269
23.29374845,553.7051392000001,553.7520405078873,-0.04690130788719671,550.9804764877063,0.2915567642205407,2.480007255960497
23.30103438,552.9425659,553.7045766971778,-0.7620107971778225,550.7990685805325,0.2945758417659099,2.6109322748793837
23.30832031,552.9013062000001,553.6679308502705,-0.7666246502703871,550.6182382705765,0.2976420304446939,2.7520505492492897
23.31560624,552.6063843,553.6431349238856,-1.0367506238856095,550.4379855578395,0.3007563150067142,2.904393051039372
23.32289217,552.8396606000001,553.6313458924678,-0.7916852924677187,550.2583104423202,0.3039197060517497,3.069115744095932
23.3301781,552.6833496,553.6338626530203,-0.950513053020245,550.0792129240199,0.3071332408476446,3.247516488152804
23.33746403,552.3846436000001,553.6521452316176,-1.267501631617506,549.9006930029377,0.31039798417873915,3.441054244501171
23.34474995,552.081543,553.6878364626469,-1.6062934626469314,549.7227509229033,0.31371502463689205,3.6513705151067977
23.35203588,552.2321167,553.7427866879624,-1.5106699879623875,549.5453861954652,0.3170854938167378,3.8803149986804377
