,bcc FeNiSi Peak 0 Intensity,bcc FeNiSi Peak Width,bcc FeNiSi Peak Shape,bcc FeNiSi a,Background 0,Background 1,Background 2
bcc FeNiSi Peak 0 Intensity,136.03383233414706,-0.06158714905726223,-2.123092747652478,3.2165979609527287e-05,-916.1239324783043,75.30405672212629,-1.5335572303022198
bcc FeNiSi Peak Width,-0.06158714905726223,3.3556760302476916e-05,0.0009770963089709853,-9.733964923713702e-09,0.572169809761004,-0.04701275699544522,0.0009575048813308053
bcc FeNiSi Peak Shape,-2.1230927476524784,0.0009770963089709853,0.03323127566593311,-4.981022509967416e-07,15.048898878485144,-1.2369010088325945,0.025189834294934665
bcc FeNiSi a,3.216597960952729e-05,-9.733964923713702e-09,-4.981022509967416e-07,7.924939870586515e-09,-0.0002867163793209727,2.2547256842746666e-05,-4.3934926726320666e-07
Background 0,-916.1239324783043,0.572169809761004,15.048898878485145,-0.0002867163793209727,28402.983217754536,-2323.5652513634345,47.25484668469079
Background 1,75.30405672212629,-0.04701275699544522,-1.2369010088325945,2.2547256842746666e-05,-2323.565251363434,190.15518820138317,-3.8685954171854884
Background 2,-1.5335572303022198,0.0009575048813308054,0.025189834294934665,-4.393492672632068e-07,47.25484668469079,-3.868595417185489,0.07873135524147006
