Folder,Index,Emin,Emax
2009Oct_30GPa,Fe_Murphy_P1,3,22.5
2009Oct_36GPa,Fe_Murphy_P2,3,25
2009Oct_53GPa,Fe_Murphy_P3,3,27
2009Oct_69GPa,Fe_Murphy_P4,3.5,28
2009Oct_77GPa,Fe_Murphy_P5,3.5,28.75
2009Oct_90GPa,Fe_Murphy_P6,3,29.5
2009Oct_106GPa,Fe_Murphy_P7,4,30
2009Oct_121GPa,Fe_Murphy_P8,4,32.25
2009Oct_133GPa,Fe_Murphy_P9,4,30
2010Aug_151GPa,Fe_Murphy_P10,4,32.5
2011Feb_171GPa,Fe_Murphy_P11,4,35
2015Mar_Ambient,Fe_Ambient,3,19.75
