Phase,q (fixed),vD0,dvD0,gammaD0,dgammaD0,Correlation between vD0 and gammaD0
Fe,0.8,3685,22,1.68,0.02,-0.94
,1,3682,25,1.74,0.03,-0.94
,1.2,3680,29,1.79,0.03,-0.94
,average,3680,30,1.7,0.1,
Fe0.91Ni0.09,0.8,3473,9,1.65,0.02,-0.62
,1,3474,10,1.69,0.02,-0.62
,1.2,3476,11,1.72,0.02,-0.62
,average,3470,20,1.7,0.1,
Fe0.8Ni0.1Si0.1,0.8,3284,16,1.78,0.06,-0.3
,1,3286,17,1.82,0.06,-0.3
,1.2,3287,17,1.85,0.06,-0.3
,average,3290,20,1.8,0.1,
