Phase,q (fixed),gammavib0,dgammavib0
Fe,0.8,1.94,0.01
,1.0,2.04,0.01
,1.2,2.14,0.01
,average,2.0,0.1
Fe0.91Ni0.09,0.8,1.99,0.02
,1.0,2.07,0.02
,1.2,2.15,0.02
,average,2.1,0.1
Fe0.8Ni0.1Si0.1,0.8,1.95,0.04
,1.0,2.03,0.05
,1.2,2.12,0.05
,average,2,0.1
