PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),partial phonon DOS (1/eV),error of partial phonon DOS (1/eV)
 4.06255E+01, 9.50978E+01, 8.68414E+00
 4.08732E+01, 9.54083E+01, 8.80264E+00
 4.11210E+01, 9.71453E+01, 8.75380E+00
 4.13687E+01, 1.01608E+02, 8.93532E+00
 4.16164E+01, 1.05959E+02, 9.06297E+00
 4.18641E+01, 1.10738E+02, 9.86998E+00
 4.21118E+01, 1.17693E+02, 9.93301E+00
 4.23595E+01, 1.21744E+02, 9.81980E+00
 4.26073E+01, 1.24794E+02, 1.03273E+01
 4.28550E+01, 1.30726E+02, 1.03463E+01
 4.31027E+01, 1.33409E+02, 1.04243E+01
 4.33504E+01, 1.31774E+02, 1.02437E+01
 4.35981E+01, 1.32123E+02, 1.09534E+01
 4.38458E+01, 1.32331E+02, 1.06253E+01
 4.40936E+01, 1.28680E+02, 1.02359E+01
 4.43413E+01, 1.22518E+02, 9.96940E+00
 4.45890E+01, 1.12599E+02, 1.00099E+01
 4.48367E+01, 1.03318E+02, 8.86280E+00
 4.50844E+01, 9.91077E+01, 9.62109E+00
 4.53321E+01, 9.73234E+01, 8.98918E+00
 4.55799E+01, 9.43700E+01, 9.50708E+00
 4.58276E+01, 8.99962E+01, 8.89618E+00
 4.60753E+01, 7.90907E+01, 8.14142E+00
 4.63230E+01, 6.61920E+01, 7.61545E+00
 4.65707E+01, 5.62707E+01, 6.94014E+00
 4.68184E+01, 4.91079E+01, 6.93649E+00
 4.70662E+01, 4.18230E+01, 6.28209E+00
 4.73139E+01, 3.43218E+01, 6.25076E+00
 4.75616E+01, 2.92450E+01, 5.81643E+00
 4.78093E+01, 2.89271E+01, 5.94444E+00
 4.80570E+01, 2.89735E+01, 5.94552E+00
 4.83047E+01, 2.56908E+01, 5.87275E+00
 4.85525E+01, 2.05726E+01, 4.73161E+00
 4.88002E+01, 1.58447E+01, 4.78146E+00
 4.90479E+01, 1.28727E+01, 4.99097E+00
 4.92956E+01, 1.13812E+01, 4.70589E+00
 4.95433E+01, 1.00222E+01, 4.30052E+00
 4.97910E+01, 1.10427E+01, 4.80817E+00
 5.00388E+01, 1.29681E+01, 4.75896E+00
 5.02865E+01, 1.27754E+01, 4.60637E+00
 5.05342E+01, 1.09571E+01, 5.11893E+00
 5.07819E+01, 8.05085E+00, 4.40869E+00
 5.10296E+01, 6.23279E+00, 4.58701E+00
 5.12773E+01, 5.12327E+00, 4.02009E+00
 5.15251E+01, 2.98145E+00, 4.10716E+00
 5.17728E+01, 7.18139E-01, 4.01162E+00
 5.20205E+01,-2.75141E-02, 3.39324E+00
 5.22682E+01, 1.81325E+00, 4.51519E+00
 5.25159E+01, 5.68151E+00, 4.96467E+00
 5.27636E+01, 8.91080E+00, 4.98299E+00
 5.30113E+01, 1.00041E+01, 4.91384E+00
 5.32591E+01, 7.45203E+00, 4.16058E+00
 5.35068E+01, 4.53949E+00, 4.19852E+00
 5.37545E+01, 3.22260E+00, 4.38732E+00
 5.40022E+01, 1.39584E+00, 3.65525E+00
 5.42499E+01,-2.69643E-01, 3.38766E+00
 5.44976E+01, 7.40379E-01, 4.39773E+00
 5.47454E+01, 3.27826E+00, 4.95083E+00
 5.49931E+01, 3.45068E+00, 4.08878E+00
 5.52408E+01, 1.51572E+00, 4.56057E+00
 5.54885E+01, 1.01469E+00, 3.64469E+00
 5.57362E+01, 1.91404E+00, 4.55150E+00
 5.59839E+01, 2.30658E+00, 4.35514E+00
 5.62317E+01, 1.71151E+00, 4.60222E+00
 5.64794E+01, 1.11833E+00, 4.47182E+00
 5.67271E+01, 3.25035E-01, 3.70284E+00
 5.69748E+01,-5.50674E-01, 4.11523E+00
 5.72225E+01,-5.55251E-01, 3.94242E+00
 5.74702E+01, 2.18200E+00, 5.54603E+00
 5.77180E+01, 5.92931E+00, 4.82568E+00
 5.79657E+01, 5.32174E+00, 4.51047E+00
 5.82134E+01, 2.74931E+00, 4.84141E+00
 5.84611E+01, 1.53842E+00, 4.61902E+00
 5.87088E+01, 1.36651E+00, 4.33878E+00
 5.89565E+01,-4.98138E-01, 4.18844E+00
 5.92043E+01,-3.53335E+00, 4.05607E+00
 5.94520E+01,-3.55901E+00, 4.57480E+00
 5.96997E+01,-2.14249E+00, 3.87682E+00
 5.99474E+01,-1.16307E+00, 5.03003E+00
 6.01951E+01, 1.69282E-01, 4.48497E+00
 6.04428E+01, 1.31859E+00, 4.86651E+00
 6.06906E+01, 2.04361E-01, 3.79783E+00
 6.09383E+01,-8.15246E-01, 3.95670E+00
 6.11860E+01, 2.17601E+00, 5.56784E+00
 6.14337E+01, 5.27275E+00, 5.42979E+00
 6.16814E+01, 3.49470E+00, 3.82623E+00
 6.19291E+01,-7.24130E-01, 4.14118E+00
 6.21769E+01,-2.50790E+00, 3.74486E+00
 6.24246E+01,-9.01092E-01, 5.06639E+00
 6.26723E+01,-3.10112E-01, 4.24678E+00
 6.29200E+01,-3.91395E+00, 3.92114E+00
