PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),fitted resolution function
 5.66767E+01, 0.00000E+00
 5.69244E+01, 0.00000E+00
 5.71722E+01, 0.00000E+00
 5.74199E+01, 0.00000E+00
 5.76676E+01, 0.00000E+00
 5.79153E+01, 0.00000E+00
 5.81630E+01, 0.00000E+00
 5.84107E+01, 0.00000E+00
 5.86585E+01, 0.00000E+00
 5.89062E+01, 0.00000E+00
 5.91539E+01, 0.00000E+00
 5.94016E+01, 0.00000E+00
 5.96493E+01, 0.00000E+00
 5.98970E+01, 0.00000E+00
 6.01448E+01, 0.00000E+00
 6.03925E+01, 0.00000E+00
 6.06402E+01, 0.00000E+00
 6.08879E+01, 0.00000E+00
 6.11356E+01, 0.00000E+00
 6.13833E+01, 0.00000E+00
 6.16311E+01, 0.00000E+00
 6.18788E+01, 0.00000E+00
 6.21265E+01, 0.00000E+00
 6.23742E+01, 0.00000E+00
 6.26219E+01, 0.00000E+00
 6.28696E+01, 0.00000E+00
 6.31174E+01, 0.00000E+00
 6.33651E+01, 0.00000E+00
 6.36128E+01, 0.00000E+00
 6.38605E+01, 0.00000E+00
 6.41082E+01, 0.00000E+00
 6.43559E+01, 0.00000E+00
 6.46037E+01, 0.00000E+00
 6.48514E+01, 0.00000E+00
 6.50991E+01, 0.00000E+00
 6.53468E+01, 0.00000E+00
 6.55945E+01, 0.00000E+00
 6.58422E+01, 0.00000E+00
 6.60900E+01, 0.00000E+00
 6.63377E+01, 0.00000E+00
 6.65854E+01, 0.00000E+00
 6.68331E+01, 0.00000E+00
 6.70808E+01, 0.00000E+00
 6.73285E+01, 0.00000E+00
 6.75763E+01, 0.00000E+00
 6.78240E+01, 0.00000E+00
 6.80717E+01, 0.00000E+00
 6.83194E+01, 0.00000E+00
 6.85671E+01, 0.00000E+00
 6.88148E+01, 0.00000E+00
 6.90625E+01, 0.00000E+00
 6.93103E+01, 0.00000E+00
 6.95580E+01, 0.00000E+00
 6.98057E+01, 0.00000E+00
 7.00534E+01, 0.00000E+00
 7.03011E+01, 0.00000E+00
 7.05488E+01, 0.00000E+00
 7.07966E+01, 0.00000E+00
 7.10443E+01, 0.00000E+00
 7.12920E+01, 0.00000E+00
 7.15397E+01, 0.00000E+00
 7.17874E+01, 0.00000E+00
 7.20351E+01, 0.00000E+00
 7.22829E+01, 0.00000E+00
 7.25306E+01, 0.00000E+00
 7.27783E+01, 0.00000E+00
 7.30260E+01, 0.00000E+00
 7.32737E+01, 0.00000E+00
 7.35214E+01, 0.00000E+00
 7.37692E+01, 0.00000E+00
 7.40169E+01, 0.00000E+00
 7.42646E+01, 0.00000E+00
 7.45123E+01, 0.00000E+00
 7.47600E+01, 0.00000E+00
 7.50077E+01, 0.00000E+00
 7.52555E+01, 0.00000E+00
 7.55032E+01, 0.00000E+00
 7.57509E+01, 0.00000E+00
 7.59986E+01, 0.00000E+00
 7.62463E+01, 0.00000E+00
 7.64940E+01, 0.00000E+00
 7.67418E+01, 0.00000E+00
 7.69895E+01, 0.00000E+00
 7.72372E+01, 0.00000E+00
 7.74849E+01, 0.00000E+00
 7.77326E+01, 0.00000E+00
 7.79803E+01, 0.00000E+00
 7.82281E+01, 0.00000E+00
 7.84758E+01, 0.00000E+00
 7.87235E+01, 0.00000E+00
 7.89712E+01, 0.00000E+00
 7.92189E+01, 0.00000E+00
 7.94666E+01, 0.00000E+00
 7.97144E+01, 0.00000E+00
 7.99621E+01, 0.00000E+00
 8.02098E+01, 0.00000E+00
 8.04575E+01, 0.00000E+00
 8.07052E+01, 0.00000E+00
 8.09529E+01, 0.00000E+00
 8.12007E+01, 0.00000E+00
 8.14484E+01, 0.00000E+00
 8.16961E+01, 0.00000E+00
 8.19438E+01, 0.00000E+00
 8.21915E+01, 0.00000E+00
 8.24392E+01, 0.00000E+00
 8.26870E+01, 0.00000E+00
 8.29347E+01, 0.00000E+00
 8.31824E+01, 0.00000E+00
 8.34301E+01, 0.00000E+00
 8.36778E+01, 0.00000E+00
