Vi,gamma_est,dgamma_est
16.72,1.66,0.34
17.33,1.59,0.44
17.6,1.54,0.44
18.07,1.54,0.28
18.72,1.66,0.22
19.09,1.81,0.18
20.21,2.0,0.23
20.59,2.05,0.22
