Ref Folder,Ref Index,Vi,dVi,Folder,Index,V,dV,V/Vi,xi,dxi
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,1.0,1.0,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,0.982,0.971,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,0.927,0.8725,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,0.91,0.841,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P7,FeNi_DAC11_P7,18.066,0.035,0.878,0.797,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P8,FeNi_DAC11_P8,17.604,0.022000000000000002,0.855,0.771,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Apr_DAC11_P9,FeNi_DAC11_P9,17.332,0.027999999999999997,0.842,0.7495,0.02
2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,2012Oct_DAC11_P14,FeNi_DAC11_P14,16.724,0.044000000000000004,0.812,0.6895,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,1.019,1.0295,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,1.0,1.0,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,0.944,0.9,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,0.926,0.8675,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P7,FeNi_DAC11_P7,18.066,0.035,0.894,0.8215,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P8,FeNi_DAC11_P8,17.604,0.022000000000000002,0.871,0.797,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Apr_DAC11_P9,FeNi_DAC11_P9,17.332,0.027999999999999997,0.858,0.7755,0.02
2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,2012Oct_DAC11_P14,FeNi_DAC11_P14,16.724,0.044000000000000004,0.827,0.7135,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,1.079,1.146,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,1.059,1.111,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,1.0,1.0,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,0.981,0.964,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P7,FeNi_DAC11_P7,18.066,0.035,0.946,0.9135,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P8,FeNi_DAC11_P8,17.604,0.022000000000000002,0.922,0.8855,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Apr_DAC11_P9,FeNi_DAC11_P9,17.332,0.027999999999999997,0.908,0.8585,0.02
2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,2012Oct_DAC11_P14,FeNi_DAC11_P14,16.724,0.044000000000000004,0.876,0.791,0.02
2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,2012Apr_DAC11_P3,FeNi_DAC11_P3,20.587,0.018000000000000002,1.099,1.188,0.02
2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,2012Apr_DAC11_P4,FeNi_DAC11_P4,20.211,0.03,1.079,1.152,0.02
2012Apr_DAC11_P6,FeNi_DAC11_P6,18.724,0.037000000000000005,2012Apr_DAC11_P5,FeNi_DAC11_P5,19.088,0.059000000000000004,1.019,1.037,0.02
