Folder,Index,Phase,P,dP,V,dV,rho,drho,KS,dKS,vphi,dvphi,Prob Amp,dmu,dvD,dvP,dvS,mu,vD,vP,vS
2011Aug_Ambient,FeNi_Ambient,bcc,0.0,0.0,23.730999999999998,0.022000000000000002,7.9910000000000005,0.006999999999999999,146.7,3.1,4285.0,45.0,4.12,1.08,24.0,37.0,23.0,69.32,3288.0,5470.0,2945.0
2012Apr_DAC11_P1,FeNi_DAC11_P1,bcc,3.78,0.05,23.078000000000003,0.031,8.217,0.011000000000000001,170.5,1.2,4555.0,16.0,5.54,0.89,20.0,18.0,18.0,71.85,3310.0,5693.0,2957.0
2012Apr_DAC11_P2,FeNi_DAC11_P2,bcc,8.08,0.03,22.541999999999998,0.02,8.412,0.008,196.3,1.7,4831.0,21.0,10.19,0.46,9.0,18.0,9.0,80.44,3463.0,6007.0,3092.0
2012Apr_DAC11_P3,FeNi_DAC11_P3,hcp,17.96,0.06,20.587,0.018000000000000002,9.211,0.008,254.4,2.6,5255.0,27.0,2.15,3.17,53.0,40.0,50.0,108.62,3842.0,6583.0,3434.0
2012Apr_DAC11_P4,FeNi_DAC11_P4,hcp,22.79,0.17,20.211,0.03,9.383,0.013999999999999999,277.5,2.3,5438.0,23.0,3.95,2.12,34.0,29.0,32.0,116.0,3936.0,6787.0,3516.0
2012Apr_DAC11_P5,FeNi_DAC11_P5,hcp,40.74,1.23,19.088,0.059000000000000004,9.934,0.031,359.6,1.3,6017.0,14.0,9.43,0.95,12.0,13.0,11.0,142.44,4243.0,7438.0,3787.0
2012Apr_DAC11_P6,FeNi_DAC11_P6,hcp,47.92,0.6,18.724,0.037000000000000005,10.128,0.02,391.3,1.1,6216.0,11.0,4.51,2.57,35.0,24.0,32.0,153.21,4359.0,7669.0,3889.0
2012Apr_DAC11_P7,FeNi_DAC11_P7,hcp,62.96,0.78,18.066,0.035,10.497,0.02,455.9,1.1,6590.0,10.0,5.65,2.01,26.0,18.0,23.0,170.38,4520.0,8067.0,4029.0
2012Apr_DAC11_P8,FeNi_DAC11_P8,hcp,75.34,0.43,17.604,0.022000000000000002,10.772,0.013999999999999999,507.0,1.5,6861.0,11.0,8.65,1.53,19.0,14.0,17.0,180.64,4597.0,8333.0,4095.0
2012Apr_DAC11_P9,FeNi_DAC11_P9,hcp,83.46,0.78,17.332,0.027999999999999997,10.940999999999999,0.018000000000000002,540.5,1.9,7029.0,14.0,5.37,3.05,37.0,25.0,33.0,189.48,4672.0,8515.0,4162.0
2012Oct_DAC11_P14,FeNi_DAC11_P14,hcp,104.1,2.66,16.724,0.044000000000000004,11.339,0.03,622.6,3.0,7410.0,20.0,6.65,3.49,36.0,28.0,34.0,222.68,4972.0,9005.0,4431.0
2013Feb_DAC14_P1,FeNi_DAC14_P1,bcc,1.68,0.04,23.375,0.028999999999999998,8.113,0.01,157.5,2.1,4406.0,29.0,4.45,0.94,21.0,26.0,20.0,69.79,3279.0,5557.0,2933.0
2013Feb_DAC14_P2,FeNi_DAC14_P2,bcc,4.52,0.05,22.979,0.028999999999999998,8.252,0.01,174.8,1.0,4602.0,13.0,4.77,0.81,17.0,15.0,16.0,75.88,3392.0,5783.0,3032.0
2015Mar_Ambient,FeNi_Ambient,bcc,0.0,0.0,23.730999999999998,0.022000000000000002,7.9910000000000005,0.006999999999999999,146.7,3.1,4285.0,45.0,3.6,1.07,24.0,38.0,23.0,68.53,3270.0,5459.0,2928.0
