Folder,Index,Phase,V,dV,P,dP,KE,dKE,Cvib,dCvib,gamma_vib,dgamma_vib,gamma_D,dgamma_D,Pvib,dPvib
2012Apr_DAC11_P3,FeNi_DAC11_P3,hcp,20.587,0.018000000000000002,17.96,0.06,14.3986,0.1234,2.6754,0.0169,1.89,0.09,1.55,0.09,2.53,0.12
2012Apr_DAC11_P4,FeNi_DAC11_P4,hcp,20.211,0.03,22.79,0.17,14.4503,0.1411,2.6646,0.0185,1.86,0.09,1.52,0.09,2.54,0.13
2012Apr_DAC11_P5,FeNi_DAC11_P5,hcp,19.088,0.059,40.74,1.23,14.7936,0.1342,2.5975,0.0166,1.76,0.09,1.43,0.08,2.61,0.13
2012Apr_DAC11_P6,FeNi_DAC11_P6,hcp,18.724,0.037000000000000005,47.92,0.6,14.904000000000002,0.163,2.575,0.0205,1.72,0.08,1.41,0.08,2.63,0.13
2012Apr_DAC11_P7,FeNi_DAC11_P7,hcp,18.066,0.035,62.96,0.78,15.099,0.1647,2.5369,0.0198,1.66,0.08,1.36,0.08,2.66,0.13
2012Apr_DAC11_P8,FeNi_DAC11_P8,hcp,17.604,0.022,75.34,0.43,15.1807,0.1613,2.5177,0.0193,1.62,0.08,1.32,0.08,2.68,0.13
2012Apr_DAC11_P9,FeNi_DAC11_P9,hcp,17.332,0.028,83.46,0.78,15.3698,0.1684,2.4857,0.0214,1.59,0.08,1.3,0.08,2.72,0.13
2012Oct_DAC11_P14,FeNi_DAC11_P14,hcp,16.724,0.044,104.1,2.66,15.6509,0.1609,2.4297,0.0199,1.54,0.07,1.26,0.07,2.77,0.14
