Folder,Index,Emin,Emax
2012Apr_DAC11_P1,FeNi_DAC11_P1,3,21
2012Apr_DAC11_P2,FeNi_DAC11_P2,3,19.5
2012Apr_DAC11_P3,FeNi_DAC11_P3,3,21.25
2012Apr_DAC11_P4,FeNi_DAC11_P4,3,21.5
2012Apr_DAC11_P5,FeNi_DAC11_P5,3,23
2012Apr_DAC11_P6,FeNi_DAC11_P6,3,24.25
2012Apr_DAC11_P7,FeNi_DAC11_P7,3.5,24.5
2012Apr_DAC11_P8,FeNi_DAC11_P8,3,25.5
2012Apr_DAC11_P9,FeNi_DAC11_P9,3,27.5
2012Oct_DAC11_P14,FeNi_DAC11_P14,4.5,30
2013Feb_DAC14_P1,FeNi_DAC14_P1,3,20
2013Feb_DAC14_P2,FeNi_DAC14_P2,3,18
2015Mar_Ambient,FeNi_Ambient,3,20
