Folder,Index,Emin start,Emin end,Step size,Emax start,Emax end,Plot E start,Plot E end,Plot vD start,Plot vD end
2012Apr_DAC11_P1,FeNi_DAC11_P1,0,26,0.25,0,26,0,26,4000,4500
2012Apr_DAC11_P2,FeNi_DAC11_P2,0,27,0.25,0,27,0,27,4000,4500
2012Apr_DAC11_P3,FeNi_DAC11_P3,0,28,0.25,0,28,0,28,4000,4500
2012Apr_DAC11_P4,FeNi_DAC11_P4,0,30,0.25,0,30,0,30,4000,4500
2012Apr_DAC11_P5,FeNi_DAC11_P5,0,32,0.25,0,32,0,28,4100,4400
2012Apr_DAC11_P6,FeNi_DAC11_P6,0,33,0.25,0,33,0,33,4000,4500
2012Apr_DAC11_P7,FeNi_DAC11_P7,0,34,0.25,0,34,0,34,4000,4500
2012Apr_DAC11_P8,FeNi_DAC11_P8,0,35,0.25,0,35,0,35,4000,4500
2012Apr_DAC11_P9,FeNi_DAC11_P9,0,37,0.25,0,37,0,37,4000,4500
2012Oct_DAC11_P14,FeNi_DAC11_P14,0,39,0.25,0,39,0,39,4000,4500
2013Feb_DAC14_P1,FeNi_DAC14_P1,0,26,0.25,0,26,0,26,4000,4500
2013Feb_DAC14_P2,FeNi_DAC14_P2,0,27,0.25,0,27,0,27,4000,4500
2015Mar_Ambient,FeNi_Ambient,0,25,0.25,0,25,0,25,4000,4500
