Date,Index,T,Asymmetry,Background,Normalization,Norm Fixed
Aug 2011,FeNi_Ambient,300.0,1.15,0.489,1.07,False
Apr 2012,FeNi_DAC11_P1,300.0,1.02,1.1,7.95,False
Apr 2012,FeNi_DAC11_P2,300.0,0.97,1.46,19.9,False
Apr 2012,FeNi_DAC11_P3,300.0,0.96,1.7,11.0,False
Apr 2012,FeNi_DAC11_P4,300.0,0.93,1.63,3.07,False
Apr 2012,FeNi_DAC11_P5,300.0,0.99,2.88,4.09,False
Apr 2012,FeNi_DAC11_P6,300.0,0.97,1.81,8.45,False
Apr 2012,FeNi_DAC11_P7,300.0,0.98,2.59,-1.0,True
Apr 2012,FeNi_DAC11_P8,300.0,0.96,3.61,11.8,False
Apr 2012,FeNi_DAC11_P9,300.0,0.97,1.95,9.16,False
Jun 2012,FeNi_DAC11_P10,300.0,1.0,4.18,13.6,False
Jun 2012,FeNi_DAC11_P11,300.0,1.0,2.37,12.3,False
Jun 2012,FeNi_DAC11_P12,300.0,1.01,3.32,9.68,False
Jun 2012,FeNi_DAC11_P13,300.0,0.99,3.94,11.6,False
Oct 2012,FeNi_DAC11_P14,300.0,1.07,2.51,-11.7,False
Feb 2013,FeNi_DAC14_P1,300.0,1.02,3.38,0.593,False
Feb 2013,FeNi_DAC14_P2,300.0,1.01,2.02,6.48,False
Mar 2015,FeNi_Ambient,300.0,0.97,1.29,-3.9,False
