Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,IF,dIF,highTIF,dhighTIF
Aug 2011,2011Aug_Ambient,FeNi_Ambient,0.7764,0.002,14.1176,0.0722,164.5834,3.0104,1.3827,0.0838,1.4089,0.0258
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.784,0.0034,14.1333,0.1437,170.941,7.7442,1.401,0.1668,1.4634,0.0663
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8023,0.0032,14.3158,0.1503,197.5227,8.7819,1.6127,0.1744,1.6909,0.0752
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8245,0.0025,14.3807,0.1423,201.9605,8.0037,1.6881,0.1651,1.7289,0.0685
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8342,0.0024,14.5258,0.1521,226.8873,8.9058,1.8564,0.1766,1.9423,0.0762
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8543,0.0019,14.7465,0.1468,249.9541,8.9778,2.1126,0.1704,2.1398,0.0769
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8658,0.0021,14.9758,0.1692,291.2416,10.0796,2.3787,0.1964,2.4932,0.0863
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.875,0.0019,15.0651,0.1706,309.9554,10.5723,2.4823,0.198,2.6534,0.0905
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8795,0.0018,15.172,0.171,311.1928,10.3828,2.6063,0.1985,2.664,0.0889
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.8832,0.002,15.3412,0.1788,338.2623,10.4806,2.8026,0.2075,2.8957,0.0897
Jun 2012,2012Jun_DAC11_P10,FeNi_DAC11_P10,0.8893,0.0011,15.3841,0.1108,340.1769,6.8802,2.8524,0.1286,2.9121,0.0589
Jun 2012,2012Jun_DAC11_P11,FeNi_DAC11_P11,0.8947,0.0015,15.5326,0.1803,378.3925,12.4664,3.0248,0.2093,3.2393,0.1067
Jun 2012,2012Jun_DAC11_P12,FeNi_DAC11_P12,0.8975,0.0013,15.6062,0.1272,377.4382,7.1225,3.1103,0.1476,3.2311,0.061
Jun 2012,2012Jun_DAC11_P13,FeNi_DAC11_P13,0.8987,0.0013,15.6818,0.1382,393.4748,8.3645,3.198,0.1604,3.3684,0.0716
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.8993,0.0015,15.6275,0.1601,392.3542,9.4515,3.1349,0.1858,3.3588,0.0809
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7729,0.0034,14.0617,0.163,144.413,10.3904,1.3179,0.1892,1.2363,0.0889
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.787,0.0034,14.1467,0.1568,175.741,9.5124,1.4166,0.1819,1.5044,0.0814
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7746,0.0027,14.0975,0.0969,163.0818,4.6469,1.3595,0.1124,1.3961,0.0398
