Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC
Aug 2011,2011Aug_Ambient,FeNi_Ambient,0.7764,0.002,14.1169,0.0722,164.1038,3.0016
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.7839,0.0034,14.1282,0.1437,170.0221,7.7025
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8021,0.0032,14.3018,0.1502,196.1492,8.7208
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8245,0.0025,14.3605,0.1421,201.5061,7.9857
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8341,0.0024,14.4654,0.1515,224.1022,8.7965
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8544,0.0019,14.6786,0.1461,250.2487,8.9884
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8658,0.0021,14.862,0.1679,288.0486,9.9691
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.875,0.0019,14.96,0.1695,307.8331,10.5
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8793,0.0018,15.0692,0.1699,306.7394,10.2342
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.883,0.002,15.2108,0.1772,332.8683,10.3135
Jun 2012,2012Jun_DAC11_P10,FeNi_DAC11_P10,0.8892,0.0011,15.2834,0.1101,336.1871,6.7995
Jun 2012,2012Jun_DAC11_P11,FeNi_DAC11_P11,0.8942,0.0015,15.3947,0.1787,365.5587,12.0436
Jun 2012,2012Jun_DAC11_P12,FeNi_DAC11_P12,0.8961,0.0013,15.372,0.1253,354.5306,6.6902
Jun 2012,2012Jun_DAC11_P13,FeNi_DAC11_P13,0.8981,0.0013,15.5237,0.1368,380.5649,8.09
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.8987,0.0015,15.459,0.1584,379.6079,9.1445
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7732,0.0034,14.0767,0.1632,147.1608,10.5881
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.7869,0.0034,14.1518,0.1568,174.609,9.4511
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7743,0.0027,14.0897,0.0968,161.0427,4.5888
