,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,hcp FeNiSi Peak 3 Intensity,hcp FeNiSi Peak 4 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNiSi Peak 0 Intensity,0.3146602984419738,0.053239893998182526,0.6886740081146392,0.03714769296046824,0.1323226769168628,-0.01459670972155818,-0.00040001873235940785,0.00027558660274711825,-0.0010777638152011846,0.00017107188585902761,2.157006394766433e-06,-1.2100065338386453e-05,-5.791310460520849e-06,-0.7219361073397519,0.13225674281751798,-0.007829371830318581,0.00015093370119829063
hcp FeNiSi Peak 1 Intensity,0.05323989399818253,0.09485039865475066,0.13744407068258968,0.005641850227253245,0.023617696219853355,-0.015577295802438211,-5.4249997335004264e-05,0.00022389998319763882,-0.00020473212037482204,0.0001790174284589971,-2.0318164029500036e-07,4.7231760835688403e-07,-3.7254291551388604e-06,0.29869708878347656,-0.060963506464647994,0.00390685576243753,-7.986886596490371e-05
hcp FeNiSi Peak 2 Intensity,0.6886740081146393,0.13744407068258968,2.2065922089801364,0.11969987708588381,0.40702436360268396,-0.008452181342411866,-0.001288441682797157,-0.00026139848880250767,-0.0033152621845193957,-9.084361685456122e-05,6.278119183817911e-06,-4.154243813519424e-05,-3.735147233992433e-05,-1.3540867758505026,0.27598600204150786,-0.01762565963352206,0.00036000154440049683
hcp FeNiSi Peak 3 Intensity,0.03714769296046825,0.005641850227253245,0.11969987708588381,0.10028158403039786,0.025575020071474986,0.0013601077976765758,-7.505173524165891e-05,-4.4538095444006424e-05,-0.0001894997004018388,-2.8008928908899382e-05,8.844755924138415e-07,-5.78521028001972e-06,-8.578261552380424e-07,-0.4135879771490172,0.08456901271766415,-0.005545036647113404,0.00011658055462422307
hcp FeNiSi Peak 4 Intensity,0.1323226769168628,0.023617696219853348,0.40702436360268396,0.025575020071474983,0.1847182722778583,-0.001722181677193285,-0.00025140215907731855,-5.3430144217605924e-05,-0.0006446346931582382,-1.8135218843196638e-05,1.227151858949827e-06,-7.983660051613341e-06,-5.682179276287369e-06,-0.3970599069442013,0.07626564258590494,-0.004572640533519582,8.648297462070234e-05
extrapeak Peak 0 Intensity,-0.01459670972155818,-0.015577295802438206,-0.008452181342411881,0.001360107797676574,-0.001722181677193285,2.8035944612761794,-9.792874483858892e-06,-0.012264313578041981,3.5914438113290734e-06,-0.021493084019911415,5.631154755037354e-06,-3.1812517410866315e-05,-1.5688792877218118e-05,1.1250734549648516,-0.18660672032436354,0.01019993600294313,-0.00018383384667079234
hcp FeNiSi Peak Width,-0.00040001873235940785,-5.424999733500425e-05,-0.0012884416827971567,-7.505173524165892e-05,-0.00025140215907731855,-9.792874483858906e-06,1.172982258032692e-06,5.895365540197531e-07,1.9425491333279668e-06,3.13930223588809e-07,-5.855618198908073e-09,3.609435160675206e-08,2.0644224173934587e-08,0.0018866699984808628,-0.0003802312179120341,2.411764229621943e-05,-4.899946617489423e-07
extrapeak Peak Width,0.00027558660274711825,0.00022389998319763876,-0.00026139848880250767,-4.453809544400642e-05,-5.343014421760594e-05,-0.012264313578041981,5.89536554019753e-07,9.616518294593562e-05,5.131787454905318e-07,8.915624161223525e-05,-2.297000511095689e-08,1.7915491777824877e-07,1.7973351331001373e-07,-0.013962957402942493,0.002277766718513284,-0.00012254374786054435,2.175419011128847e-06
hcp FeNiSi Peak Shape,-0.0010777638152011848,-0.00020473212037482204,-0.0033152621845193957,-0.00018949970040183883,-0.0006446346931582383,3.5914438113290734e-06,1.942549133327967e-06,5.131787454905318e-07,5.25714312173251e-06,2.4192347554355003e-07,-1.0788393488873637e-08,6.938856686021005e-08,5.268305021454346e-08,0.0028256424560618052,-0.0005665639067209467,3.578885003387939e-05,-7.247195539650259e-07
extrapeak Peak Shape,0.00017107188585902764,0.0001790174284589971,-9.084361685456099e-05,-2.800892890889937e-05,-1.8135218843196625e-05,-0.021493084019911415,3.139302235888089e-07,8.915624161223524e-05,2.419234755435498e-07,0.00018268421458717947,-4.4818815087607304e-08,2.711407458051787e-07,1.7762973756198056e-07,-0.012294550564242647,0.002022755058470696,-0.00010972462786592445,1.9634027977895804e-06
