Folder,Index,Emin,Emax
2011Aug_Ambient,FeNi_Ambient,3,12.75
2012Apr_DAC11_P1,FeNi_DAC11_P1,3,13.75
2012Apr_DAC11_P2,FeNi_DAC11_P2,3,12.75
2012Apr_DAC11_P3,FeNi_DAC11_P3,3,10
2012Apr_DAC11_P4,FeNi_DAC11_P4,3,13.25
2012Apr_DAC11_P5,FeNi_DAC11_P5,3,14.5
2012Apr_DAC11_P6,FeNi_DAC11_P6,3.5,15.5
2012Apr_DAC11_P7,FeNi_DAC11_P7,3.5,15.5
2012Apr_DAC11_P8,FeNi_DAC11_P8,3,15
2012Apr_DAC11_P9,FeNi_DAC11_P9,3,17.5
2012Oct_DAC11_P14,FeNi_DAC11_P14,4.5,18
2013Feb_DAC14_P1,FeNi_DAC14_P1,3,13
2013Feb_DAC14_P2,FeNi_DAC14_P2,3,11.75
2015Mar_Ambient,FeNi_Ambient,3,13.5
