Fit results
,Deviator,norm,background
value,1.374E+00, 5.93325E-01, 3.37533E+00
error,0.000E+00, 1.24090E+00, 1.27841E-01

Correlation matrix
,norm,background
norm, 1.00000E+00,-6.29653E-01
background,-6.29653E-01, 1.00000E+00

Iteration history
Deviator,Quality,norm,,background,,
3.301E+00, 1.059E+00, 4.000E+00,  , 3.000E+00,  
2.494E+00, 3.798E-01, 3.500E+00, L, 3.169E+00,  
2.218E+00, 2.075E-01, 3.050E+00, L, 3.266E+00,  
2.050E+00, 1.843E-01, 2.645E+00, L, 3.323E+00,  
1.884E+00, 1.683E-01, 2.280E+00, L, 3.350E+00,  
1.731E+00, 1.345E-01, 1.952E+00, L, 3.364E+00,  
1.609E+00, 1.135E-01, 1.657E+00, L, 3.373E+00,  
1.510E+00, 7.432E-02, 1.391E+00, L, 3.375E+00,  
1.445E+00, 5.249E-02, 1.152E+00, L, 3.378E+00,  
1.403E+00, 3.001E-02, 9.371E-01, L, 3.378E+00,  
1.381E+00, 1.263E-02, 7.434E-01, L, 3.378E+00,  
1.374E+00, 2.684E-04, 5.691E-01, L, 3.379E+00,  
1.374E+00, 1.136E-04, 5.935E-01,  , 3.375E+00,  
1.374E+00, 1.128E-04, 5.762E-01,  , 3.377E+00,  
1.374E+00,, 5.933E-01,  , 3.375E+00,  
