Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,IF,dIF,highTIF,dhighTIF,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.784,0.0034,14.1344,0.1437,171.0868,7.7423,1.4022,0.1667,1.4646,0.0663,bcc,3.78,0.05,23.078,0.031,8.217,0.011,170.5,1.2,170.5,1.2,4555.0,16.0
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8013,0.0032,14.2981,0.1513,194.4881,8.8167,1.5922,0.1755,1.6649,0.0755,bcc,8.08,0.03,22.542,0.02,8.412,0.008,196.3,1.7,196.3,1.7,4831.0,21.0
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8255,0.0025,14.4166,0.1411,206.2626,7.9538,1.7297,0.1638,1.7657,0.0681,hcp,17.96,0.06,20.587,0.018,9.211,0.008,251.0,2.4,254.4,2.6,5255.0,27.0
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8322,0.0025,14.4265,0.1548,217.0121,9.039,1.7412,0.1797,1.8578,0.0774,hcp,22.79,0.17,20.211,0.03,9.383,0.014,274.1,2.1,277.5,2.3,5438.0,23.0
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8558,0.0019,14.8282,0.1443,259.7673,8.8406,2.2074,0.1674,2.2238,0.0757,hcp,40.74,1.23,19.088,0.059,9.934,0.031,356.5,1.2,359.6,1.3,6017.0,14.0
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8641,0.0022,14.8411,0.1731,278.8327,10.2894,2.2224,0.2008,2.387,0.0881,hcp,47.92,0.6,18.724,0.037,10.128,0.02,388.3,1.0,391.3,1.1,6216.0,11.0
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.875,0.0019,15.0651,0.1706,309.9554,10.5723,2.4823,0.198,2.6534,0.0905,hcp,62.96,0.78,18.066,0.035,10.497,0.02,453.1,1.0,455.9,1.1,6590.0,10.0
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8802,0.0018,15.2205,0.1691,316.9015,10.2684,2.6627,0.1962,2.7129,0.0879,hcp,75.34,0.43,17.604,0.022,10.772,0.014,504.3,1.5,507.0,1.5,6861.0,11.0
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.8843,0.0019,15.4285,0.1757,347.0955,10.2988,2.904,0.2038,2.9713,0.0882,hcp,83.46,0.78,17.332,0.028,10.941,0.018,537.8,1.9,540.5,1.9,7029.0,14.0
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.8992,0.0015,15.6157,0.1605,391.499,9.4747,3.1213,0.1862,3.3515,0.0811,hcp,104.1,2.66,16.724,0.044,11.339,0.03,620.1,2.9,622.6,3.0,7410.0,20.0
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7768,0.0033,14.1199,0.1595,151.502,10.2568,1.3854,0.1851,1.2969,0.0878,bcc,1.68,0.04,23.375,0.029,8.113,0.01,157.5,2.1,157.5,2.1,4406.0,29.0
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.7876,0.0034,14.1594,0.1563,176.9666,9.4903,1.4313,0.1813,1.5149,0.0812,bcc,4.52,0.05,22.979,0.029,8.252,0.01,174.8,1.0,174.8,1.0,4602.0,13.0
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7755,0.0027,14.1067,0.0964,164.0763,4.6272,1.3701,0.1118,1.4046,0.0396,bcc,0.0,0.0,23.731,0.022,7.991,0.007,146.7,3.1,146.7,3.1,4285.0,45.0
