Parameters,Values,Std
extrapeak Peak 0 Intensity,0.6218044070914035,0.633209905784932
bcc FeNi Peak 0 Intensity,34.64222006473477,0.6844105581003539
extrapeak Peak Width,0.17118785570332118,0.021783919272349277
bcc FeNi Peak Width,0.07829715957039883,0.0006938919131960927
extrapeak Peak Shape,0.9999999999999878,1.2285377143974228
bcc FeNi Peak Shape,0.01813546068215363,0.0015058138327456352
extrapeak a,2.9863956481557303,0.00030595037267445324
bcc FeNi a,2.8278720762622997,3.730374265103137e-05
Background 0,-113.41173622362679,31.490038906712492
Background 1,24.453687599498714,2.5650365188856137
Background 2,-0.42317683983741744,0.0521802916868667
