,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.40095478478416247,0.0090080676432228,-0.012440890959484707,-2.179594822836223e-05,-0.7771732690943438,-2.803506224914816e-05,1.426268630518378e-06,9.529347264262907e-08,-2.500051034901672,0.2086701597068842,-0.004330980191956378
bcc FeNi Peak 0 Intensity,0.009008067643222796,0.4684178120392379,-0.000499708183395707,-0.00038593339716343504,-0.019049022988041654,-0.001009692495159589,5.074477255775352e-06,-1.0672729891493257e-07,-3.5602330053915168,0.29007320255750574,-0.005889625394842689
extrapeak Peak Width,-0.01244089095948471,-0.000499708183395707,0.00047453913886423034,1.0507714491692802e-06,0.024548529137357104,1.4587616958951726e-06,9.78825006468514e-08,1.912092967749229e-09,0.02811211121775434,-0.0026812828078978824,6.168044043032024e-05
bcc FeNi Peak Width,-2.179594822836223e-05,-0.000385933397163435,1.05077144916928e-06,4.814859871989339e-07,4.490505819947799e-05,8.35220411480304e-07,-9.724439469321206e-09,1.7476653852314667e-10,0.006589166850062242,-0.0005370557770235806,1.0910860567455196e-05
extrapeak Peak Shape,-0.7771732690943439,-0.019049022988041654,0.0245485291373571,4.490505819947799e-05,1.5093049156968437,5.856408837806843e-05,-1.7526359030495526e-06,-1.487620743126168e-07,4.493847877104572,-0.3774415765562619,0.007876326692366504
bcc FeNi Peak Shape,-2.803506224914816e-05,-0.001009692495159589,1.4587616958951726e-06,8.35220411480304e-07,5.856408837806843e-05,2.2674752988880995e-06,-1.4254887125535942e-08,2.6856633981471233e-10,0.009881220343790093,-0.0008051938497616646,1.6352338951486723e-05
extrapeak a,1.4262686305183775e-06,5.074477255775353e-06,9.78825006468514e-08,-9.724439469321206e-09,-1.7526359030495526e-06,-1.4254887125535942e-08,9.360563053963682e-08,-1.4640372718061524e-11,-0.0014707196378076202,0.00011898959884856992,-2.403669942463673e-06
bcc FeNi a,9.529347264262907e-08,-1.067272989149326e-07,1.91209296774923e-09,1.747665385231467e-10,-1.4876207431261683e-07,2.6856633981471233e-10,-1.464037271806153e-11,1.3915692157743768e-09,2.837442890642042e-05,-2.3829705280496075e-06,4.9896469310865895e-08
Background 0,-2.500051034901672,-3.5602330053915168,0.02811211121775434,0.0065891668500622416,4.493847877104572,0.009881220343790093,-0.00147071963780762,2.8374428906420417e-05,991.6225503462665,-80.75887062563814,1.6420351702947305
Background 1,0.20867015970688424,0.2900732025575058,-0.002681282807897882,-0.0005370557770235806,-0.3774415765562619,-0.0008051938497616646,0.00011898959884856992,-2.3829705280496075e-06,-80.75887062563815,6.579412343216826,-0.13382206848492126
Background 2,-0.004330980191956378,-0.00588962539484269,6.168044043032024e-05,1.0910860567455196e-05,0.007876326692366504,1.6352338951486723e-05,-2.403669942463673e-06,4.9896469310865895e-08,1.6420351702947307,-0.13382206848492126,0.00272278284052649
