Fit results
,Deviator,norm,background
value,8.076E-01,-3.90260E+00, 1.29012E+00
error,0.000E+00, 9.45879E-01, 1.09084E-01

Correlation matrix
,norm,background
norm, 1.00000E+00,-7.27315E-01
background,-7.27315E-01, 1.00000E+00

Iteration history
Deviator,Quality,norm,,background,,
7.155E+01,-7.107E-01,-3.000E+00,  , 3.000E+00,  
7.229E+01, 2.703E+01,-3.400E+00, L, 3.034E+00,  
4.807E+01, 2.258E+01,-2.960E+00, L, 2.679E+00,  
2.851E+01, 1.121E+01,-2.564E+00,  , 2.311E+00, L
1.843E+01, 1.217E+01,-2.920E+00, L, 2.111E+00,  
8.373E+00, 6.045E+00,-2.920E+00,T , 1.800E+00, L
3.611E+00, 2.705E+00,-2.528E+00, L, 1.529E+00,  
1.575E+00, 6.548E-01,-2.881E+00, L, 1.381E+00,  
1.059E+00, 4.121E-01,-3.269E+00, L, 1.336E+00,  
8.172E-01, 1.845E-02,-3.696E+00, L, 1.287E+00,  
8.076E-01, 3.222E-05,-3.892E+00,  , 1.289E+00,  
8.076E-01,,-3.903E+00,  , 1.290E+00,  
