2theta,Intensity,Model,Residual,Background,extrapeak,hcp FeNiSi
23.00141627,2072.7236329999996,2078.527702074632,-5.80406907463248,2073.7343175611513,4.693716472436899,0.09966804104387368
23.0115954,2069.055664,2077.9955772091216,-8.939913209121642,2072.9950673439052,4.89959362617635,0.10091623904013612
23.02177453,2068.361572,2077.475177615115,-9.113605615115375,2072.2562581358416,5.116729194759493,0.10219028451414446
23.03195366,2069.483398,2076.9671462204938,-7.483748220493908,2071.5178899369607,5.345765364872364,0.10349091866076196
23.04213279,2069.855469,2076.4721699889815,-6.616700988981393,2070.7799627472623,5.587388331613648,0.10481891010543734
23.05231192,2069.30835,2075.9909848560005,-6.682634856000732,2070.042476566746,5.842333233000307,0.10617505625445547
23.06249105,2068.587402,2075.524381392498,-6.93697939249796,2069.3054313954117,6.11138981233444,0.10756018475172711
23.07267018,2070.042969,2075.073211298225,-5.030242298224948,2068.56882723326,6.395408909908123,0.1089751550571448
23.08284931,2070.769043,2074.63839483845,-3.8693518384502568,2067.8326640802907,6.695309897994775,0.11042086016442033
23.09302844,2070.587646,2074.2209293518226,-3.6332833518226835,2067.096941936504,7.012089186838409,0.11189822847982415
23.10320757,2072.32251,2073.8218989722004,-1.4993889722004496,2066.3616608019,7.34682994441302,0.1134082258874205
23.1133867,2072.5234379999997,2073.442485723556,-0.9190477235561048,2065.626820676478,7.700713189046289,0.11495185803142621
23.12356584,2070.599121,2073.0839818230334,-2.4848608230331592,2064.8924208389794,8.075030809633562,0.11653017442024251
23.13374497,2071.13916,2072.747805458399,-1.6086454583987688,2064.158462732356,8.471198461018759,0.11814426502407538
23.1439241,2072.59668,2072.435515019145,0.1611649808551192,2063.4249456349144,8.89077411147066,0.11979527276006526
23.15410323,2072.856934,2072.148829061875,0.7081049381249613,2062.691869546655,9.335475124298567,0.12148439092119864
23.16428236,2072.636475,2071.8896469163064,0.7468280836933445,2061.9592344675784,9.807199579936118,0.12321286879211318
23.17446149,2072.198486,2071.6600723448505,0.5384136551492702,2061.2270403976836,10.308049930860316,0.12498201630680277
23.18464062,2072.328857,2071.462440152412,0.8664168475879706,2060.495287336972,10.840359606053003,0.12679320938672559
23.19481975,2071.421143,2071.2993459951886,0.12179700481146938,2059.763975285442,11.406722813662654,0.12864789608397212
23.20499888,2069.990723,2071.173679606096,-1.1829566060960133,2059.0331042430944,12.01002775932446,0.13054760367697066
23.21517801,2071.075928,2071.088661591831,-0.012733591830965452,2058.30267420993,12.653493435008384,0.13249394689274666
23.22535714,2073.435059,2071.047883847359,2.3871751526407934,2057.5726851859476,13.34071002395075,0.13448863746060968
23.23553627,2073.879395,2071.055353455755,2.8240415442451194,2056.8431371711476,14.075682789369322,0.1365334952378009
23.2457154,2073.569092,2071.1155396643376,2.453552335662607,2056.1140301655296,14.862879037619335,0.1386304611887785
23.25589453,2074.122803,2071.2334231090313,2.8893798909689394,2055.3853641690944,15.70727732738977,0.14078161254700863
23.26607366,2076.107178,2071.4145458387347,4.692632161265465,2054.6571391818416,16.614417476351203,0.14298918054213974
23.27625279,2076.115234,2071.6650597894495,4.450174210550358,2053.9293552037707,17.590449014542028,0.145255571136906
23.28643193,2074.439697,2071.9917704260224,2.4479265739773837,2053.202011520556,18.64217551386067,0.1475833916057936
23.29661106,2072.5361329999996,2072.402168003398,0.13396499660166228,2052.4751095612837,19.777082972409094,0.1499754697052574
23.30679019,2071.154785,2072.904443422885,-1.7496584228847496,2051.748648611193,21.003359911125845,0.15243490056591125
23.31696932,2071.959961,2073.5074707929666,-1.5475097929665935,2051.0226286702855,22.329877046319478,0.15496507636178902
23.32714845,2072.523193,2074.2207450947453,-1.6975520947453333,2050.29704973856,23.76612562239748,0.1575697337880042
23.33732758,2070.7861329999996,2075.0542508158574,-4.2681178158577495,2049.571911816017,25.32208599307821,0.16025300676225132
23.34750671,2070.7919920000004,2076.018231604993,-5.22623960499277,2048.847214902656,27.007997214584908,0.1630194877522265
23.35768584,2072.849854,2077.1228211492835,-4.272967149283431,2048.122958998478,28.833987851784066,0.1658742990212126
23.36786497,2075.608643,2078.377484617034,-2.7688416170340133,2047.3991441034823,30.809517338308527,0.16882317524317414
23.3780441,2076.026123,2079.7902091183446,-3.764086118344494,2046.6757702176687,32.94256634156549,0.17187255911026575
23.38822323,2076.361572,2081.3663734577185,-5.004801457718713,2045.9528373410376,35.23850640494156,0.17502971173936477
23.39840236,2077.962891,2083.107227075676,-5.14433607567571,2045.2303454735888,37.69857876220797,0.17830283987915263
23.40858149,2079.798828,2085.0079239176616,-5.209095917661671,2044.5082946153225,40.317928060214804,0.18170124212429506
23.41876062,2083.0471190000003,2087.0551014210264,-4.0079824210260995,2043.7866847662385,43.08318117823147,0.185235476556532
23.42893975,2087.780518,2089.2240835449493,-1.4435655449492515,2043.0655159263367,45.969650066160916,0.18891755245179115
23.43911888,2093.920654,2091.475934872447,2.4447191275530713,2042.3447880956176,48.93838562791486,0.19276114891463614
23.44929802,2099.469971,2093.7548075984178,5.715163401582231,2041.624500566686,51.93352516416627,0.19678186756548244
23.45947715,2102.3232420000004,2095.986263028202,6.336978971798544,2040.904654754765,54.88061077491168,0.2009974985250622
23.46965628,2105.149658,2098.0775258783497,7.0721321216501565,2040.1852499520262,57.68684756346772,0.2054283628558029
23.47983541,2106.678223,2099.92062464,6.7575983599999745,2039.4662861584698,60.244240825300835,0.21009765622930662
23.49001454,2105.6411129999997,2101.3991981730055,4.241914826994162,2038.7477633740957,62.43640294248494,0.21503185642492118
