,extrapeak Peak 0 Intensity,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak Width,hcp FeNiSi Peak Width,extrapeak Peak Shape,hcp FeNiSi Peak Shape,extrapeak a,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,13.959828042515124,1.2226950914119368,-0.16143394921804288,0.2191935348807153,-0.07572251525673915,-1.15865661547017e-06,-0.9798643103427163,-0.0011363848191972815,4.938251874210219e-05,0.00029060961965673575,-0.0016949188309640863,-47.04975052429156,3.5836683015438977,-0.06786902701880547
hcp FeNiSi Peak 0 Intensity,1.2226950914119366,0.8242317266285076,-0.05530529269122052,1.2174037564459301,-0.004727216774410868,-0.0021708144757580645,-0.07990680411875377,-0.00477634408345222,7.366389850568903e-06,2.441936867007432e-05,-0.00011066310504785822,-8.483706862656677,0.5921339983999082,-0.010151291870888172
hcp FeNiSi Peak 1 Intensity,-0.16143394921804288,-0.05530529269122052,0.20443556854120445,-0.0894852351554544,0.00022947789368976644,0.0004346563276807673,0.009424676638322712,0.0005148463809005773,-6.945344443105152e-06,-1.2141600845487752e-05,8.045309951671316e-05,8.274529223931495,-0.6221323481758825,0.011582951603852453
hcp FeNiSi Peak 2 Intensity,0.21919353488071525,1.2174037564459301,-0.0894852351554544,3.1179539867137067,-0.0006154747974139291,-0.005123072611535518,-0.014444482798020122,-0.011324950293000171,-1.9487736378585125e-05,2.7307452878431163e-06,2.9957688014797618e-05,2.280390552095003,-0.2068849455483879,0.004758168175387114
extrapeak Peak Width,-0.07572251525673915,-0.004727216774410868,0.00022947789368976644,-0.0006154747974139291,0.000504705527632736,-2.374115220814841e-06,0.005551945991032392,2.301591872358077e-06,7.628525847712296e-08,-1.878990265208466e-06,1.038988018431661e-05,-0.06317903616109445,0.004038381310289085,-6.369687398545673e-05
hcp FeNiSi Peak Width,-1.15865661547017e-06,-0.0021708144757580645,0.0004346563276807673,-0.005123072611535518,-2.3741152208148415e-06,1.301681879354475e-05,-4.493811537004179e-06,2.003007907706464e-05,4.57257985273929e-08,-5.359779767420385e-09,-1.524931929571455e-07,-0.008433347781444639,0.0007984891977365776,-1.8825908878188277e-05
extrapeak Peak Shape,-0.9798643103427163,-0.07990680411875378,0.009424676638322712,-0.014444482798020122,0.005551945991032392,-4.493811537004172e-06,0.06949458441536126,7.107109139856982e-05,-2.3904573211203328e-06,-2.094899008246435e-05,0.0001205441996948598,2.3191623707659943,-0.1789765046724435,0.0034278155945817114
hcp FeNiSi Peak Shape,-0.0011363848191972815,-0.00477634408345222,0.0005148463809005774,-0.011324950293000171,2.301591872358077e-06,2.003007907706464e-05,7.107109139856981e-05,4.3913342548057286e-05,6.429630576746385e-08,-2.6118334863890673e-08,-9.40208799252273e-08,-0.005126416455201308,0.0006023595714121294,-1.6412957350830333e-05
extrapeak a,4.938251874210218e-05,7.366389850568902e-06,-6.945344443105152e-06,-1.9487736378585125e-05,7.628525847712295e-08,4.5725798527392905e-08,-2.3904573211203324e-06,6.429630576746387e-08,6.245710025252218e-08,5.678875001312603e-09,-3.7600055271684925e-08,-0.0027222420251134427,0.00020502599609051263,-3.851713789500628e-06
hcp FeNiSi a,0.0002906096196567358,2.4419368670074325e-05,-1.2141600845487752e-05,2.730745287843119e-06,-1.8789902652084661e-06,-5.359779767420385e-09,-2.094899008246435e-05,-2.611833486389067e-08,5.678875001312603e-09,1.402529996824077e-07,-7.643913800078291e-07,-0.0020413696783606146,0.00015741834101513704,-3.0136198243073816e-06
hcp FeNiSi c,-0.0016949188309640863,-0.00011066310504785824,8.045309951671313e-05,2.9957688014797618e-05,1.0389880184316611e-05,-1.5249319295714553e-07,0.0001205441996948598,-9.402087992522735e-08,-3.760005527168492e-08,-7.643913800078292e-07,4.887820061949535e-06,0.01869289452785098,-0.0014444637465489964,2.776043679087869e-05
Background 0,-47.04975052429156,-8.483706862656677,8.274529223931495,2.2803905520950027,-0.06317903616109445,-0.008433347781444639,2.3191623707659943,-0.005126416455201308,-0.002722242025113443,-0.0020413696783606146,0.01869289452785098,2761.6120402701586,-208.8476382518041,3.9376078405746995
Background 1,3.5836683015438977,0.5921339983999081,-0.6221323481758825,-0.2068849455483879,0.004038381310289085,0.0007984891977365778,-0.1789765046724435,0.0006023595714121294,0.00020502599609051263,0.00015741834101513702,-0.0014444637465489964,-208.8476382518041,15.811850571765138,-0.2984536800238328
Background 2,-0.06786902701880547,-0.010151291870888174,0.011582951603852453,0.004758168175387114,-6.369687398545673e-05,-1.8825908878188277e-05,0.0034278155945817114,-1.6412957350830333e-05,-3.8517137895006285e-06,-3.0136198243073816e-06,2.776043679087869e-05,3.9376078405747,-0.2984536800238329,0.0056399475295986455
