Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
19.901,19.901,1.0,0.0151,19.305,1.04,0.024,1.0309,1.04,0.0287
19.901,19.087,0.9095,0.0182,19.305,1.04,0.024,0.9887,0.9459,0.0289
19.901,18.397,0.8735,0.0199,19.305,1.04,0.024,0.953,0.9084,0.0295
19.901,17.829,0.8445,0.0196,19.305,1.04,0.024,0.9235,0.8783,0.0287
19.901,17.258,0.7925,0.0268,19.305,1.04,0.024,0.894,0.8242,0.0337
19.305,19.901,1.04,0.024,19.305,1.0,0.0156,1.0309,1.04,0.029
19.305,19.087,0.9505,0.0192,19.305,1.0,0.0156,0.9887,0.9505,0.0243
19.305,18.397,0.92,0.0203,19.305,1.0,0.0156,0.953,0.92,0.0249
19.305,17.829,0.8865,0.0195,19.305,1.0,0.0156,0.9235,0.8865,0.0239
19.305,17.258,0.8365,0.0275,19.305,1.0,0.0156,0.894,0.8365,0.0304
19.087,19.901,1.0985,0.0176,19.305,0.9505,0.0192,1.0309,1.0441,0.0269
19.087,19.087,1.0,0.0163,19.305,0.9505,0.0192,0.9887,0.9505,0.0247
19.087,18.397,0.9615,0.0205,19.305,0.9505,0.0192,0.953,0.9139,0.0268
19.087,17.829,0.9275,0.02,19.305,0.9505,0.0192,0.9235,0.8816,0.026
19.087,17.258,0.8795,0.028,19.305,0.9505,0.0192,0.894,0.836,0.0315
18.397,19.901,1.1435,0.0195,19.305,0.92,0.0203,1.0309,1.052,0.0293
18.397,19.087,1.04,0.0195,19.305,0.92,0.0203,0.9887,0.9568,0.0277
18.397,18.397,1.0,0.0191,19.305,0.92,0.0203,0.953,0.92,0.0268
18.397,17.829,0.955,0.0215,19.305,0.92,0.0203,0.9235,0.8786,0.0277
18.397,17.258,0.9125,0.0288,19.305,0.92,0.0203,0.894,0.8395,0.0323
17.829,19.901,1.1915,0.0186,19.305,0.8865,0.0195,1.0309,1.0563,0.0285
17.829,19.087,1.073,0.0209,19.305,0.8865,0.0195,0.9887,0.9512,0.0279
17.829,18.397,1.045,0.0219,19.305,0.8865,0.0195,0.953,0.9264,0.0281
17.829,17.829,1.0,0.0189,19.305,0.8865,0.0195,0.9235,0.8865,0.0257
17.829,17.258,0.9385,0.0299,19.305,0.8865,0.0195,0.894,0.832,0.0322
17.258,19.901,1.2635,0.0196,19.305,0.8365,0.0275,1.0309,1.0569,0.0384
17.258,19.087,1.158,0.0255,19.305,0.8365,0.0275,0.9887,0.9687,0.0383
17.258,18.397,1.0945,0.0221,19.305,0.8365,0.0275,0.953,0.9155,0.0353
17.258,17.829,1.0625,0.0212,19.305,0.8365,0.0275,0.9235,0.8888,0.0342
17.258,17.258,1.0,0.0284,19.305,0.8365,0.0275,0.894,0.8365,0.0363
