2theta,Intensity,Model,Residual,Background,hcp FeNi,extrapeak
22.00325979,355.25476069999996,354.5649260009414,0.6898346990585651,354.22984434239004,0.3176743115273162,0.017407347024030292
22.01054637,354.9454956,354.60197609967145,0.3435195003285685,354.26475710760735,0.31966108155658446,0.017557910507532762
22.01783295,354.76470950000004,354.63905108886104,0.12565841113899978,354.2996720919022,0.3216685619669829,0.017710434991846907
22.02511954,354.6857605,354.67615135556747,0.009609144432545236,354.33458934319617,0.3236970574939656,0.01786495487731533
22.03240612,354.7230835,354.7132771404404,0.009806359559547673,354.36950876564936,0.3257468701164118,0.018021504674651325
22.0396927,354.9208984,354.75042884336233,0.17046955663766994,354.4044304071802,0.32781831588517163,0.018180120296941184
22.04697928,355.1548767,354.78760681996937,0.36726988003061933,354.4393542677887,0.3299117139461328,0.018340838234514566
22.05426587,355.443573,354.82481148378116,0.6187615162188536,354.4742803954084,0.3320273923612063,0.0185036960115658
22.06155245,355.28701780000006,354.8620431020859,0.4249746979141378,354.50920869417524,0.3341656765998908,0.01866873131081487
22.06883903,355.33117680000004,354.8993021024559,0.4318746975441172,354.54413921201973,0.33632690709948926,0.018835983336726307
22.07612562,355.3955078,354.93658891990594,0.45891888009407467,354.5790719968845,0.33851143083974944,0.01900549218166791
22.0834122,355.7211609,354.97390384337973,0.7472570566202421,354.6140069528873,0.34071959235444227,0.01917729813802756
22.09069878,355.79617310000003,355.0112473229561,0.7849257770439522,354.64894412796775,0.34295175186994376,0.019351443118370316
22.09798536,355.83343510000003,355.0486197653802,0.7848153346198501,354.68388352212577,0.34520827350108274,0.019527969753307634
22.10527195,355.9873047,355.0860216367527,0.9012830632472628,354.7188251833163,0.3474895315405334,0.01970692189588591
22.11255853,355.8821716,355.12345325736135,0.7587183426386446,354.75376901563277,0.34979589806579175,0.019888343662781537
22.11984511,355.9987793,355.16091510985353,0.8378641901464903,354.7887150670267,0.3521277618913048,0.020072280935499603
22.1271317,355.7699585,355.1984076856368,0.5715508143631496,354.82366338546245,0.35448551950660706,0.02025878066778228
22.13441828,355.9231567,355.23593133053583,0.6872253694641586,354.8586138750148,0.3568695653892771,0.020447890131801292
22.14170486,356.15396119999997,355.27348655373027,0.880474646269704,354.89356658364477,0.35928031160118945,0.020639658484301274
22.14899144,356.432373,355.31107382219966,1.1212991778003243,354.9285215113524,0.36171817506930787,0.020834135777944573
22.15627803,356.5557251,355.34869366403353,1.2070314359664849,354.96347870611385,0.3641835843990067,0.021031373520688984
22.16356461,356.18997189999993,355.3863464621034,0.8036254378965282,354.9984380719798,0.36667696650062953,0.021231423622943904
22.17085119,356.27056880000004,355.42403276407305,0.846536035926988,355.0333996569234,0.3691987670932778,0.021434340056376337
22.17813777,356.530365,355.46175307617443,1.0686119238255856,355.0683634609446,0.37174943741882305,0.0216401778110034
22.18542436,356.99713130000004,355.49950796690445,1.4976233330955893,355.1033295320318,0.37432944138286683,0.021848993489792863
22.19271094,357.5144348,355.53729785998115,1.9771369400188519,355.13829777421137,0.37693924157305325,0.02206084419672413
22.19999752,357.6286011,355.5751233454948,2.053477754505252,355.1732682354685,0.3795793207304005,0.022275789295862103
22.20728411,357.1603394,355.61298502496106,1.5473543750389354,355.2082409638009,0.3822501715483093,0.022493889611843444
22.21457069,356.5243835,355.65088335550195,0.8735001444980526,355.2432158632164,0.3849522857302116,0.022715206555321363
22.22185727,356.5078125,355.6888189619013,0.8189935380987095,355.27819298170954,0.3876861762290372,0.022939803962719593
22.22914385,356.7372742,355.7267924291128,1.0104817708872247,355.31317231928034,0.3904523628835346,0.02316774694889157
22.23643044,357.146698,355.7648044066987,1.3818935933012995,355.34815392393847,0.39325138018901734,0.023399102571228243
22.24371702,357.5362244,355.8028554004285,1.7333689995714963,355.3831376996676,0.396083762157199,0.023633938603692825
22.2510036,357.5032349,355.8409460856075,1.6622888143924683,355.41812369447433,0.398950065640995,0.023872325492184408
22.25829018,357.5500793,355.8790770988014,1.6710022011985757,355.45311190835866,0.4018508553012166,0.024114335141529292
22.26557677,357.4739685,355.9172491427403,1.5567193572597375,355.48810238934254,0.4047867117732302,0.024360041624501023
22.27286335,357.36236569999994,355.955462777075,1.4069029229249281,355.5230950413853,0.40775821580571453,0.02460951988397706
22.28014993,357.35751339999996,355.99371873306603,1.3637946669339271,355.5580899125056,0.41076597274640436,0.024862847814042778
22.28743652,357.00100710000004,356.03201775706714,0.9689893429329004,355.59308705073465,0.41381060100016864,0.025120105332291975
22.2947231,356.89297489999996,356.0703604529735,0.8226144470264671,355.62808636001324,0.4168927196010394,0.02538137335919476
22.30200968,356.79843139999997,356.1087475979929,0.6896838020070959,355.6630878883696,0.42001297362241297,0.025646736000854067
22.30929626,356.83554080000005,356.1471799328792,0.6883608671208208,355.69809163580356,0.4231720178664113,0.02591627920925694
22.31658285,356.6704102,356.18565826773494,0.48475193226505553,355.73309765035833,0.42637052579584056,0.026190091580785706
22.32386943,356.6960754,356.22418327116475,0.47189212883523624,355.76810583595056,0.42960917229490314,0.026468262919273566
22.33115601,356.9611206,356.2627557875753,0.6983648124246997,355.80311624062045,0.43288866038970286,0.026750886565149127
22.3384426,357.0501099,356.3013766795214,0.7487332204785844,355.83812891242036,0.43620970872795395,0.02703805837308129
22.34572918,357.29959110000004,356.340046668893,0.9595444311070196,355.8731437552486,0.43957303806188075,0.02732987558253775
22.35301576,357.4421082,356.3787666554344,1.063341544565617,355.90816081715445,0.4429793990142685,0.027626439265673566
