Parameters,Values,Std
hcp FeNi Peak 0 Intensity,3.9560239897479907,0.21485689329796487
hcp FeNi Peak 1 Intensity,0.9187636830572892,0.07611458474974832
hcp FeNi Peak 2 Intensity,9.744687584177424,0.471856312430735
extrapeak Peak 0 Intensity,18.132491850010155,0.9964609061525878
hcp FeNi Peak Width,0.4325074775535737,0.009544950126339624
extrapeak Peak Width,0.1250826399249397,0.0038475103386614792
hcp FeNi Peak Shape,0.9999999999999999,0.08416952638428443
extrapeak Peak Shape,0.04408179680838765,0.008033528359859375
hcp FeNi a,2.396583964616301,0.00029477702969181127
hcp FeNi c,3.824315734633246,0.0015180251423739187
extrapeak a,2.962620377064925,0.00017999380910774934
Background 0,258.9246451791489,7.733426153405823
Background 1,3.8715988573267457,0.609688778767921
Background 2,0.0208975333298842,0.011908939760257396
