Folder,Index,Emin start,Emin end,Step size,Emax start,Emax end
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,0,26,0.25,0,26
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,0,27,0.25,0,27
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,0,28,0.25,0,28
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,0,26,0.25,0,26
2015Mar_Ambient,FeNiSi_Ambient,0,25,0.25,0,25
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,0,31,0.25,0,31
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,0,32,0.25,0,32
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,0,34,0.25,0,34
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,0,36,0.25,0,36
