Folder,Index,Emin,Emax
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,4,21
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,5,21
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,3,21
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,3,19.5
2015Mar_Ambient,FeNiSi_Ambient,3,17.5
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,3,22
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,3,24
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,4,22.25
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,4.75,27
