rho,P,vP,dvP,T,vS
10.325,63,8610,150,300,4537
10.665,79,8920,160,300,4719
10.965,96,9280,90,300,4869
11.525,124,9860,110,300,5146
11.555,126,9990,120,300,5160
11.85,146,10090,290,300,5310
12.125,167,10450,190,300,5451
