P,dP,rho,drho,vD,dvD,vS,dvS,T
30,1,9.34,0.01,3890,20,3450,20,300
44,1,9.72,0.01,4080,40,3620,40,300
57,1,10.06,0.01,4210,40,3730,40,300
83,2,10.62,0.02,4480,50,3970,40,300
106,2,11.05,0.02,4610,30,4080,30,300
133,2,11.5,0.03,4750,50,4200,50,300
