Index,a,da,c,dc,V,dV,rho,drho,P,dP,KT,KprimeT,fLM,dfLM,KE,dKE,MFC,dMFC,cvib,dcvib,Svib,dSvib,TLM,dTLM,IF,dIF,alphavib,dalphavib,minE,maxE,vD,dvD,KS,vP,dvP,vS,dvS,mu,dmu,Fvib,dFvib
Fe_Murphy_P1,2.424,0.002,3.854,0.001,19.66,0.07,9.61,0.03,30,2,309,4.47,0.857,0.001,43.9,0.5,239,6,2.62,0.02,2.63,0.02,2140,20,11.4,0.3,1.84,0.02,3.5,15,4330,20,312,7250,80,3880,20,145,2,19.8,0.6
Fe_Murphy_P2,2.404,0.001,3.784,0.002,19.3,0.03,9.8,0.01,36,2,337,4.37,0.862,0.002,44.3,0.9,255,12,2.6,0.04,2.57,0.03,2210,40,12.1,0.6,1.69,0.02,3.5,12,4380,60,340,7420,80,3910,50,150,4,22,1
Fe_Murphy_P3,2.373,0.002,3.739,0.001,18.47,0.03,10.25,0.01,53,2,408,4.17,0.876,0.002,45.2,0.6,302,10,2.54,0.03,2.38,0.03,2520,40,14.3,0.5,1.4,0.02,3.5,18,4530,40,411,7870,80,4050,40,168,3,29,1
Fe_Murphy_P4,2.344,0.001,3.709,0.001,17.8,0.03,10.63,0.01,69,3,473,4.03,0.888,0.001,46,0.5,343,9,2.49,0.02,2.24,0.02,2810,30,16.3,0.4,1.2,0.02,3.5,16,4790,40,476,8320,80,4280,30,195,3,34.1,0.8
Fe_Murphy_P5,2.335,0.001,3.686,0.001,17.5,0.07,10.8,0.02,77,3,503,3.97,0.892,0.001,46.3,0.5,356,5,2.47,0.02,2.2,0.01,2920,20,16.9,0.3,1.13,0.02,3.5,18,4860,20,506,8480,80,4340,20,203,2,35.7,0.5
Fe_Murphy_P6,2.314,0.001,3.639,0.001,17.1,0.07,11.06,0.02,90,3,555,3.89,0.899,0.001,46.8,0.6,382,8,2.44,0.02,2.1,0.01,3180,30,18.2,0.4,1.03,0.02,3.5,18,5070,30,558,8810,90,4520,20,226,2,39.2,0.7
Fe_Murphy_P7,2.296,0.001,3.643,0.001,16.61,0.07,11.38,0.05,106,3,619,3.8,0.904,0.001,47.5,0.4,417,10,2.4,0.02,2.01,0.01,3370,30,19.8,0.5,0.92,0.02,3.5,18,5170,30,621,9110,90,4610,30,242,3,42.9,0.8
Fe_Murphy_P8,2.269,0.001,3.605,0.001,16.24,0.07,11.64,0.02,121,3,674,3.73,0.91,0.001,48.2,0.4,451,8,2.36,0.02,1.92,0.01,3660,40,21.5,0.4,0.85,0.02,3.5,15,5370,40,677,9420,100,4790,40,267,4,46.7,0.7
Fe_Murphy_P9,2.262,0.001,3.577,0.002,15.97,0.07,11.84,0.02,133,4,718,3.68,0.913,0.001,48.6,0.5,473,9,2.33,0.02,1.87,0.02,3830,50,22.5,0.4,0.79,0.02,3.5,17,5370,50,721,9560,110,4790,40,271,5,48.8,0.9
Fe_Murphy_P10,2.244,0.001,3.547,0.002,15.61,0.07,12.13,0.03,151,5,783,3.62,0.918,0.001,49.1,0.6,494,10,2.3,0.02,1.81,0.02,4130,60,23.5,0.5,0.73,0.02,9.7,18,5510,70,786,9840,120,4910,60,292,8,51.1,0.9
Fe_Murphy_P11,2.225,0.001,3.866,0.002,15.21,0.07,12.43,0.03,171,5,856,3.55,0.923,0.001,50,0.9,545,15,2.25,0.03,1.7,0.02,4330,90,25.9,0.7,0.67,0.02,3.7,22,5600,60,859,10110,120,4990,60,309,7,55.9,1.4
