P,T,mu,K,vP,vS,Debye T,Ek,dEk,Ez,dEz,Svib,Cvib,dCvib
0,300,75.8,163,5791,3106,410.5,43,,6.176,,3.108,2.8,
3,300,81,178.5,5984,3179,,42.4,1.9,5.131,0.6,3.249,2.88,0.06
