rho,drho,P,dP,T,vP,dvP
7.398,0.002,0,,300,6190,50
7.515,0.005,2.5,0.2,300,6400,60
7.819,0.006,9,0.4,300,6850,70
7.996,0.006,14.5,0.5,300,7130,90
