rho,vP,dvP,P,P medium,T,vS
8907,7416,151,27,Ne,300,3975
8999,7689,259,32,none,300,4048
9297,7950,248,37,Ne,300,4285
9662,8480,244,47,Ne,300,4567
10125,8890,288,68,none,300,4939
10505,9081,369,108,none,300,
