P,dP,vP,dvP,vS,dvS,rho,drho
0,0,5.67,0.1,2.84,0.14,7.809,0.04
26,1,7.13,0.07,3.19,0.08,8.706,0.009
45,2,7.83,0.14,3.31,0.12,9.16,0.012
65,3,8.26,0.04,3.28,0.04,9.572,0.01
82,4,8.55,0.09,3.38,0.15,9.876,0.011
107,5,8.98,0.05,3.61,0.05,10.288,0.013
119,6,9.15,0.05,3.67,0.06,10.474,0.013
130,7,9.3,0.09,3.73,0.15,10.639,0.014
153,8,9.59,0.16,3.84,0.16,10.967,0.016
