P,dP,rho,drho,vP,dvP,T
27,1,9.22,0.01,7290,80,300
37,1,9.53,0.01,7680,90,300
49,1,9.86,0.01,8150,90,300
79,2,10.54,0.01,8820,130,300
110,2,11.12,0.02,9410,110,300
136,2,11.55,0.02,9890,160,300
