P,dP,vP,dvP,vS,dvS,mu,dmu,vD,dvD,Ek,dEk,Dav,dDav,fLM,dfLM,fLMT0,dfLMT0,Ez,dEz,Cvib,dCvib,Svib,dSvib,T,rho
0,,5.482,0.083,2.558,0.006,46,0.2,2.88,0.006,13.91,0.17,119.7,6.6,0.6153,0.0012,0.896,0.0005,5.45,0.13,2.811,0.023,3.898,0.021,300,7.031
6.1,0.4,5.976,0.085,2.987,0.01,65.2,0.4,3.351,0.009,14.3,0.15,175.9,6,0.7079,0.0012,0.9116,0.0004,6.52,0.11,2.733,0.02,3.427,0.018,300,7.300
13.1,0.6,6.358,0.089,3.237,0.011,79.4,0.4,3.627,0.009,14.49,0.13,198.9,5,0.7473,0.0011,0.9183,0.0004,7.01,0.09,2.699,0.017,3.208,0.016,300,7.579
21.3,0.7,6.562,0.095,3.212,0.009,81.2,0.3,3.607,0.007,14.55,0.12,213.1,4.9,0.7581,0.0009,0.92,0.0003,7.22,0.09,2.68,0.016,3.142,0.014,300,7.872
28,2.1,6.811,0.101,3.346,0.033,90.6,1.6,3.757,0.032,14.7,0.3,237,12,0.776,0.0019,0.9244,0.0008,7.67,0.23,2.641,0.039,2.971,0.032,300,8.093
37.7,1.9,7.142,0.104,3.519,0.022,103.9,1,3.951,0.019,14.75,0.15,258.2,5,0.7992,0.0012,0.9282,0.0004,8.01,0.11,2.611,0.021,2.821,0.019,300,8.391
45.2,2.3,7.371,0.107,3.646,0.024,114.3,1.1,4.092,0.019,14.78,0.15,291.3,6.2,0.8143,0.0011,0.9311,0.0004,8.45,0.12,2.559,0.02,2.658,0.017,300,8.601
57.1,2.9,7.797,0.113,3.883,0.032,135.5,1.8,4.357,0.027,15.22,0.2,323.2,7.8,0.8336,0.0013,0.936,0.0005,8.98,0.15,2.529,0.026,2.526,0.021,300,8.985
