P,dP,KS,dKS,vD,dvD,rho,drho,vP,dvP,vS,dvS,mu,dmu,Ek,dEk,EZ,dEZ,Cvib,dCvib,Svib,dSvib,T
7.5,0.4,198.9,2.8,3501,9,8.4,0.02,6060,30,3130,10,82.1,0.6,14.28,0.16,7.13,0.13,2.699,0.022,2.993,0.019,300
14.8,0.7,234.7,3.6,3735,9,8.7,0.03,6470,30,3340,10,96.8,0.7,14.16,0.23,7.04,0.2,2.713,0.022,2.953,0.018,300
25,1.3,291.7,7.9,4106,16,9.47,0.04,6980,60,3670,20,127.7,1.5,14.7,0.25,8.13,0.22,2.616,0.026,2.656,0.02,300
50,2.5,408,12,4184,17,10.2,0.07,7650,80,3720,20,141.5,1.8,14.74,0.3,8.35,0.26,2.56,0.027,2.543,0.02,300
75,3.8,517,16,4548,28,10.78,0.09,8350,90,4050,30,176.5,2.3,15.38,0.38,9.58,0.34,2.484,0.032,2.255,0.022,300
106,8,648,21,4953,33,11.37,0.14,9100,100,4410,30,220.9,3.4,16.2,0.34,11.08,0.3,2.338,0.029,1.928,0.019,300
