P,dP,x,dx,rho,drho,K,dK,mu,dmu,vP,dvP,vD,dvD,vS,dvS,T
18.4,0.2,0.63,0.04,8.14,0.01,232,1,83,1,6.49,0.05,3.59,0.07,3.2,0.07,300
29,0.3,0.98,0.04,7.94,0.01,277,1,136.5,0.8,7.61,0.02,4.63,0.03,4.15,0.03,300
41,0.4,0.97,0.05,8.28,0.01,326,1,148.2,0.9,7.96,0.03,4.73,0.04,4.23,0.04,300
64,0.6,1.05,0.05,8.83,0.01,416,1,172,1,8.55,0.03,4.94,0.05,4.42,0.05,300
82,0.8,1.04,0.06,9.21,0.01,484,1,183,1,8.9,0.03,5.01,0.06,4.46,0.05,300
