rho,drho,P,dP,vP,dvP,P medium,T
8.908,0.008,39.1,1.5,8210,70,Ne,300
9.104,0.008,46.9,1.8,8490,70,Ne,300
9.401,0.004,59.9,2.1,8780,30,Ne,300
9.623,0.005,70.7,3.4,8990,60,Ne,300
9.845,0.005,82.3,3.7,9230,80,Ne,300
10.124,0.007,98.2,4.3,9420,60,Ne,300
