rho,drho,vD,dvD,Ek,dEk,Ez,dEz,Cvib,dCvib,Svib,dSvib,ThetaD,dThetaD,fLM,dfLM,D,dD,Tcr,dTcr,P,dP,vP,dvP,vS,dvS,P medium,T
10.00,0.05,4750,20,45.6,0.4,9.25,0.09,2.52,0.01,2.32,0.01,587,3,0.8813,0.0008,324,5,2628,18,51.2,1.8,7996,101,4241,53,He,300
10.47,0.05,4970,20,46.0,0.3,9.57,0.07,2.49,0.01,2.23,0.01,620,3,0.8893,0.0006,343,3,2862,18,71.3,2.1,8495,115,4438,60,Ne,300
10.77,0.05,5120,20,46.7,0.3,10.05,0.09,2.44,0.01,2.107,0.009,644,2,0.8983,0.0005,377,5,3163,19,85.1,2.4,8804,121,4565,63,Ne,300
11.66,0.05,5660,40,48.3,0.4,11.10,0.01,2.34,0.02,1.88,0.01,732,6,0.9143,0.0007,459,6,3862,34,135.5,3.5,9858,151,5057,77,Ne,300
