P,T,vS,vD,vP,rho
4,300,3.16,3.52,6.03,6.964
7,300,3.23,3.61,6.18,7.103
10,300,3.41,3.8,6.39,7.221
12,300,3.49,3.89,6.5,7.298
22,300,4,4.44,7.33,7.660
30,300,3.87,4.31,7.23,7.910
42,300,4.28,4.76,7.72,8.356
47,300,4.18,4.67,7.91,8.481
52,300,4.26,4.74,7.86,8.614
