rho,drho,P,dP,T,vP,dvP
7.877,0.002,0,,300,5970,50
7.965,0.003,1.9,0.2,300,6110,50
8.065,0.003,4.2,0.3,300,6280,30
8.187,0.002,7.4,0.5,300,6450,60
8.311,0.005,10.3,0.5,300,6580,50
7.945,0.002,3.1,0.3,500,6020,50
8.092,0.003,6.6,0.5,500,6220,60
8.217,0.003,9.7,0.5,500,6400,50
7.742,0.004,0,,700,5670,40
7.937,0.002,3.8,0.3,700,5940,70
8.121,0.003,8,0.5,700,6180,60
8.259,0.004,10.9,0.5,700,6380,80
