P,dP,T,dT,vP,dvP,vS,dvS,mu,dmu,fLM,dfLM,Ek,dEk,Dav,dDav,"fTM,T=0","dfTM,T=0",Ez,dEz,Cvib,dCvib,Svib,dSvib
36.0,2.0,300,,7560,100,4040,100,160.0,6.0,0.8676,0.0015,14.8400,0.2400,291.2,8.7,0.9396,0.0006,8.78,0.18,2.548,0.033,2.425,0.026
43.3,2.2,300,,7640,100,3900,30,152.7,5.2,0.8637,0.0015,14.5400,0.1700,263.2,5.2,0.9372,0.0005,8.36,0.12,2.578,0.026,2.512,0.022
44.0,2.0,300,,7720,110,3970,90,158.4,5.7,0.8715,0.0017,14.7400,0.2100,276.6,6.0,0.9387,0.0006,8.57,0.14,2.567,0.031,2.478,0.026
50.5,2.5,300,,7910,120,4050,60,168.1,6.8,0.8756,0.0019,14.7600,0.2300,296.0,7.6,0.9406,0.0007,8.88,0.17,2.532,0.033,2.360,0.027
54.7,2.7,300,,8110,120,4200,70,182.6,8.2,0.8814,0.0020,14.7500,0.2800,308.6,9.9,0.9418,0.0007,9.06,0.21,2.506,0.038,2.284,0.030
51.1,2.6,300,,7880,110,3980,50,162.0,6.2,0.8750,0.0017,15.1300,0.2400,312.8,8.7,0.9409,0.0006,9.04,0.17,2.533,0.032,2.400,0.026
54.6,2.7,300,,8100,110,4190,40,181.6,6.3,0.8814,0.0013,15.2200,0.1800,325.6,5.9,0.9427,0.0005,9.26,0.13,2.514,0.026,2.327,0.021
60.0,1.3,300,,8240,100,4210,90,184.6,6.0,0.8829,0.0014,15.2500,0.2500,329.5,9.9,0.9433,0.0003,9.34,0.20,2.507,0.032,2.299,0.024
71.0,1.8,300,,8420,100,4130,50,182.2,4.6,0.8897,0.0011,15.1000,0.1500,328.6,4.9,0.9433,0.0004,9.32,0.11,2.497,0.021,2.271,0.017
72.8,1.8,700,100,8300,160,4020,200,171.5,8.7,0.7413,0.0029,31.1000,0.6100,299.3,14.0,0.9407,0.0008,8.94,0.26,2.908,0.054,4.754,0.071
73.3,2.3,880,100,8190,110,3820,90,155.1,5.8,0.7012,0.0045,38.6700,1.0800,299.5,21.5,0.9419,0.0011,9.00,0.40,2.941,0.080,5.383,0.118
39.0,3.0,1000,100,7310,100,3720,40,134.9,4.0,0.6191,0.0024,43.6700,0.5700,267.3,7.8,0.9370,0.0006,8.42,0.16,2.959,0.038,5.983,0.063
57.5,3.6,1000,100,7750,210,3730,30,142.7,8.9,0.6466,0.0024,42.8800,0.5500,292.8,7.7,0.9392,0.0006,8.79,0.17,2.954,0.038,5.805,0.063
46.5,2.8,1100,100,7280,200,3430,20,117.2,7.1,0.5698,0.0024,46.6300,0.7100,257.0,10.0,0.9341,0.0006,8.17,0.21,2.966,0.046,6.298,0.078
47.2,3.2,1100,100,7490,160,3710,190,136.8,7.8,0.5845,0.0050,48.8000,1.4700,277.8,18.5,0.9372,0.0013,8.53,0.43,2.966,0.098,6.298,0.170
57.9,3.2,1200,100,7660,220,3580,130,131.7,12.4,0.5839,0.0032,52.2500,0.9700,294.9,13.1,0.9393,0.0007,8.87,0.25,2.968,0.054,6.393,0.096
54.6,3.5,1300,100,7520,200,3540,30,127.0,7.8,0.5408,0.0029,54.3300,1.3300,266.8,22.9,0.9362,0.0008,8.37,0.39,2.974,0.072,6.672,0.119
54.1,3.2,1500,100,7450,210,3540,10,126.9,8.0,0.4389,0.0018,64.8800,0.7700,166.5,8.2,0.9303,0.0005,7.08,0.18,2.989,0.039,7.588,0.076
58.1,3.4,1700,100,7360,210,3360,10,116.0,7.4,0.4022,0.0019,71.3500,1.1600,196.9,15.0,0.9314,0.0005,7.46,0.26,2.989,0.048,7.773,0.093
