rho,vS,T
8.006726,3.5667448,300
8.258968,3.7002342,300
8.403587,3.7775176,300
8.632287,3.8969555,300
8.877803,4.0234194,300
9.116591,4.1358314,300
9.355381,4.269321,300
9.597533,4.3957844,300
9.839686,4.5222483,300
10.075112,4.641686,300
10.327354,4.7751756,300
10.566143,4.887588,300
10.808296,5.021077,300
11.047085,5.1405153,300
11.292601,5.2669787,300
11.53139,5.386417,300
11.776906,5.5199065,300
12.133409,5.6955504,300
12.382287,5.822014,300
12.624439,5.9484777,300
12.863229,6.0749416,300
13.105381,6.1943793,300
13.350897,6.320843,300
13.589686,6.4543324,300
13.969731,6.644028,300
