P,dP,rho,drho,vP,dvP,vS,dvS,KT,dKT,mu,dmu,nu,dnu,T
16.6,0.6,8.1,0.04,6.43,0.09,3.4,0.1,209,9,95,6,0.3,0.01,300
12.3,0.8,8.31,0.05,6.7,0.1,3.48,0.06,239,12,101,2,0.32,0.01,300
17,2,8.47,0.09,6.9,0.2,3.5,0.06,263,20,104,3,0.33,0.02,300
26,1,8.75,0.07,7.3,0.1,3.6,0.06,310,17,113,3,0.34,0.02,300
34,3,9,0.1,7.6,0.2,3.66,0.06,352,30,120,2,0.35,0.01,300
41,6,9.2,0.2,7.7,0.3,3.6,0.06,388,48,119,3,0.36,0.02,300
50,6,9.4,0.2,8.1,0.3,3.77,0.06,435,50,133,3,0.36,0.02,300
