P,a,da,c,dc,V,dV,rho,drho,vP,dvP,vS,dvS,T
6,2.66,0.003,8.699,0.024,53.31,0.19,7.084,0.025,6.162,0.132,3.215,0.183,300
15,2.617,0.002,8.546,0.021,50.69,0.16,7.452,0.023,7.035,0.146,4.044,0.183,300
25,2.578,0.001,8.402,0.012,48.38,0.09,7.796,0.014,7.23,0.129,4.008,0.183,300
37,2.535,0.003,8.256,0.029,45.93,0.2,8.197,0.037,8.248,0.196,5.041,0.246,300
41,2.52,0.001,8.235,0.012,45.3,0.09,8.32,0.016,8.377,0.14,5.104,0.169,300
61,2.475,0.003,8.068,0.026,42.81,0.17,8.781,0.035,8.803,0.202,5.258,0.239,300
70,2.465,0.003,8.026,0.023,42.23,0.15,8.903,0.032,8.901,0.083,5.188,0.133,300
