P,T,mu,K,vP,vS,Debye T,Ek,dEk,Ez,dEz,Svib,Cvib,dCvib
25,300,123.5,290.7,7011,3679,461.3,45.1,1.8,7.014,0.6,2.763,2.73,0.07
36,300,147.4,339.4,7470,3919,431.6,40.9,3.3,6.662,1.2,2.706,2.78,0.11
50,300,201.4,405.9,8203,4485,579.2,47.4,3.2,9.114,1.1,2.286,2.52,0.11
70,300,212.8,492,8623,4519,582.1,45.4,2.2,9.186,0.8,2.241,2.51,0.08
112,300,243.9,675.8,9423,4659,651.1,50.2,4.2,10.448,1.5,1.982,2.37,0.15
133,300,268.9,744.3,9769,4832,664.1,48.2,3.3,10.697,1.2,1.963,2.35,0.11
153,300,303.1,839.8,10242,5065,672.2,47.6,4.2,10.872,1.5,1.925,2.33,0.15
